"","celltype"
"abgndmej-1","HSC"
"abhbhhno-1","B_progenitor"
"abhccdbi-1","Nonhaem"
"abhcnbnh-1","B_naive"
"abhcpcjo-1","Nonhaem"
"abhdeigd-1","Granulocyte_monocyte_progenitor"
"abhdlmkj-1","CD4_T_memory"
"abhhjcmd-1","HSC"
"abhjmhgg-1","B_memory"
"abhlhchf-1","Erythroid"
"abinhgpc-1","MonoCD14"
"abjecndg-1","Neutrophil"
"abjggbim-1","Erythroid"
"abkakppn-1","Erythroid"
"abkikhpg-1","Erythroid"
"ablbbacl-1","HSC"
"abldlkhe-1","Nonhaem"
"ablhebnk-1","HSC"
"ablldina-1","HSC"
"ablmhhfd-1","Granulocyte_monocyte_progenitor"
"ablockki-1","Granulocyte_monocyte_progenitor"
"ablpppla-1","HSC"
"abmeghan-1","Nonhaem"
"abmhdhfg-1","Erythroid"
"abmhhidh-1","Granulocyte_monocyte_progenitor"
"abmndolb-1","Erythroid"
"abmnffic-1","Erythroid"
"abnbencl-1","HSC"
"abniiejf-1","Granulocyte_monocyte_progenitor"
"abnjpihf-1","Erythroid"
"abnknmac-1","Granulocyte_monocyte_progenitor"
"abnmfjah-1","Neutrophil"
"abnodjjl-1","Nonhaem"
"abnpgkno-1","Granulocyte_monocyte_progenitor"
"abocbnif-1","Nonhaem"
"aboeaclm-1","Macrophage"
"abogechb-1","NK_cell"
"aboigabe-1","BaEoMa"
"aboipkgh-1","Nonhaem"
"abokdcnc-1","Macrophage"
"abolffho-1","MonoCD14"
"abolhicn-1","MAIT_gdT"
"abomllnj-1","HSC"
"abonocnd-1","HSC"
"abpbleid-1","HSC"
"abpcjmkk-1","MonoCD14"
"abpfekkn-1","Erythroid"
"abpffdph-1","Neutrophil"
"abplhdpa-1","HSC"
"abpmkmnj-1","HSC"
"abppadan-1","HSC"
"abppodji-1","Nonhaem"
"acakmand-1","Granulocyte_monocyte_progenitor"
"acamihbp-1","Granulocyte_monocyte_progenitor"
"acanpfbl-1","Erythroid"
"acaokdog-1","HSC"
"acbhnfpg-1","Erythroid"
"acbldllb-1","HSC"
"acchjikj-1","Nonhaem"
"acciiihg-1","Nonhaem"
"accjelfb-1","HSC"
"accpcdab-1","Nonhaem"
"accpcglg-1","BaEoMa"
"acdacojp-1","HSC"
"acdbcpoi-1","Erythroid"
"acdcbcnm-1","Nonhaem"
"acdgaekl-1","HSC"
"acdgfjol-1","Erythroid"
"acdialbc-1","HSC"
"acdkcmof-1","Erythroid"
"acdkhefi-1","Granulocyte_monocyte_progenitor"
"acdlifnm-1","Nonhaem"
"acdmibmp-1","Nonhaem"
"acdnbagi-1","Nonhaem"
"acdocjlh-1","Nonhaem"
"acdpaahe-1","Erythroid"
"aceakkcg-1","HSC"
