"","celltype"
"aaaacjlg-1","Plasma_cell"
"aaaaijmc-1","Erythroid"
"aaabackm-1","B_memory"
"aaabaghd-1","Granulocyte_monocyte_progenitor"
"aaabbbkc-1","Plasma_cell"
"aaaceodf-1","Macrophage"
"aaadhlee-1","Plasma_cell"
"aaahfgac-1","Erythroid"
"aaaklnhb-1","Erythroid"
"aaamchmb-1","Plasma_cell"
"aaaoookn-1","Erythroid"
"aaapafmo-1","Plasma_cell"
"aabbjjno-1","Erythroid"
"aabcoeoh-1","Erythroid"
"aabcpmhf-1","MonoCD14"
"aabekfgp-1","MonoCD14"
"aabgcelh-1","Erythroid"
"aabgdibd-1","MonoCD14"
"aabhcdlf-1","Neutrophil"
"aabhmlml-1","Erythroid"
"aabhncee-1","Erythroid"
"aabimmho-1","Erythroid"
"aabincmb-1","Plasma_cell"
"aabinolo-1","Nonhaem"
"aabjnikg-1","Erythroid"
"aacagnok-1","MonoCD14"
"aacccgib-1","Plasma_cell"
"aacdblaf-1","MonoCD14"
"aacjnlek-1","Erythroid"
"aackfeln-1","Plasma_cell"
"aackgnlf-1","Erythroid"
"aacmoojn-1","Erythroid"
"aacohkbd-1","Macrophage"
"aadakfgd-1","Neutrophil"
"aadbagbl-1","Erythroid"
"aadbjhjo-1","Erythroid"
"aadbpgpe-1","Plasma_cell"
"aadcbjio-1","Plasma_cell"
"aaddmkfl-1","Plasma_cell"
"aadecjhi-1","Plasma_cell"
"aadeiaim-1","Plasma_cell"
"aadfbjia-1","Neutrophil"
"aadfdjlc-1","Plasma_cell"
"aadgcobl-1","Plasma_cell"
"aadgdini-1","Erythroid"
"aadkhioi-1","Neutrophil"
"aadmeonj-1","Neutrophil"
"aadnlhal-1","Neutrophil"
"aadoephk-1","Plasma_cell"
"aadphdep-1","HSC"
"aaebcekj-1","CD4_T_memory"
"aaebimpl-1","Erythroid"
"aaecggce-1","HSC"
"aaecpafk-1","Erythroid"
"aaedjccn-1","Erythroid"
"aaeeoodc-1","B_naive"
"aaeglmnb-1","Neutrophil"
"aaegmbla-1","MonoCD14"
"aaejdijf-1","Neutrophil"
"aaejfceg-1","Neutrophil"
"aaekdlbi-1","Plasma_cell"
"aaekgjhm-1","Plasma_cell"
"aaelpaam-1","Erythroid"
"aaenbabo-1","Erythroid"
"aafbggee-1","Plasma_cell"
"aafcjcpo-1","Neutrophil"
"aafdjoce-1","Erythroid"
"aafemobe-1","Erythroid"
"aafenaji-1","B_progenitor"
"aaffcapn-1","Erythroid"
"aafganjj-1","Erythroid"
"aafgkdmo-1","Neutrophil"
"aafhmajo-1","Erythroid"
"aafhmbjf-1","Neutrophil"
"aafhmgje-1","Plasma_cell"
"aafhpblo-1","Erythroid"
"aafipong-1","Nonhaem"
"aafjcdib-1","Plasma_cell"
"aafkohcd-1","Plasma_cell"
"aaflggae-1","B_memory"
"aafmmohl-1","Plasma_cell"
"aafnlpcl-1","CTL"
"aafnpfoj-1","Neutrophil"
"aafonofl-1","B_naive"
"aafpklcf-1","CTL"
"aafpohae-1","CD4_T_memory"
"aagbmadj-1","Plasma_cell"
"aagcbmfn-1","Macrophage"
"aagcdjia-1","CTL"
"aagehpmh-1","Plasma_cell"
"aageiflf-1","CD8_T_memory"
"aagfdinj-1","MAIT_gdT"
"aagfnfgb-1","Plasma_cell"
"aagfnfml-1","Plasma_cell"
"aaggjbaa-1","Plasma_cell"
"aaggncnd-1","Plasma_cell"
"aaghajml-1","Neutrophil"
"aagheccc-1","Plasma_cell"
"aaghgeab-1","Plasma_cell"
"aagihmpl-1","Plasma_cell"
"aagiljcd-1","Plasma_cell"
"aagjaifg-1","Plasma_cell"
"aagkmddj-1","Plasma_cell"
"aagljhmg-1","Macrophage"
"aagmnpii-1","Plasma_cell"
"aagoapgl-1","Plasma_cell"
"aagpfomi-1","Plasma_cell"
"aagpoejk-1","Plasma_cell"
"aahakedc-1","Plasma_cell"
"aahamcdn-1","Plasma_cell"
"aahcjmbf-1","Nonhaem"
"aahdgice-1","Plasma_cell"
"aahdkefb-1","CD8_T_memory"
"aaheakao-1","Plasma_cell"
"aahedfdo-1","Plasma_cell"
"aahfaglh-1","Plasma_cell"
"aahgjoji-1","Plasma_cell"
"aahgokgm-1","CTL"
"aahjfhil-1","CD8_T_memory"
"aahjpeeb-1","Plasma_cell"
"aahkcggk-1","Plasma_cell"
"aahkcnpc-1","Plasma_cell"
"aahlcmja-1","Plasma_cell"
"aahokfge-1","Plasma_cell"
"aahpoodi-1","Plasma_cell"
"aaiaclbj-1","Nonhaem"
"aaiahhpp-1","Plasma_cell"
"aaiamjeg-1","Plasma_cell"
"aaicnkpi-1","Macrophage"
"aaidigef-1","CTL"
"aaieolhj-1","Neutrophil"
"aaifcgad-1","Plasma_cell"
"aaifpjga-1","Plasma_cell"
"aaigejmb-1","CD4_T_memory"
"aaigmpgg-1","CD4_T_memory"
"aaiioibf-1","Plasma_cell"
"aaijfdjo-1","T_prolifer"
"aaijmlge-1","Plasma_cell"
"aaikbdol-1","Plasma_cell"
"aailcbpl-1","Plasma_cell"
"aailcibe-1","CD8_T_memory"
"aailemma-1","Plasma_cell"
"aaimbnlg-1","CD4_T_memory"
"aaimecnb-1","Plasma_cell"
"aaimgjge-1","Plasma_cell"
"aaimldbh-1","Plasma_cell"
"aainjldm-1","Plasma_cell"
"aainpbbg-1","CD8_T_memory"
"aaioegfi-1","Plasma_cell"
"aaioidpm-1","Plasma_cell"
"aaiojhpa-1","Plasma_cell"
"aaipemei-1","Plasma_cell"
"aaiphjka-1","CD8_T_memory"
"aaipmebf-1","Plasma_cell"
"aaippkpc-1","Plasma_cell"
"aajahope-1","Plasma_cell"
"aajankod-1","Macrophage"
"aajbnhaf-1","CD8_T_memory"
"aajceico-1","Plasma_cell"
"aajcnmme-1","MonoCD14"
"aajdejdi-1","Neutrophil"
"aajeonpn-1","Plasma_cell"
"aajhlnib-1","B_naive"
"aajighgi-1","Neutrophil"
"aajnlbin-1","Erythroid"
"aakejenn-1","Plasma_cell"
"aakfpjda-1","Neutrophil"
"aakhdjdn-1","CD4_T_memory"
"aakhhlhb-1","B_memory"
"aakkomgp-1","MonoCD14"
"aakniing-1","Plasma_cell"
"aakolfie-1","Erythroid"
"aakomfjl-1","Nonhaem"
"aakopice-1","B_memory"
"aakpkihi-1","Erythroid"
"aaleiiab-1","MonoCD14"
"aalekdfb-1","Granulocyte_monocyte_progenitor"
"aalfhglg-1","Plasma_cell"
"aalgdngc-1","Plasma_cell"
"aalibipg-1","Plasma_cell"
"aaljkngj-1","Erythroid"
"aalldfje-1","Erythroid"
"aalljoce-1","Erythroid"
"aallpibg-1","B_naive"
"aalmdjhp-1","Nonhaem"
"aalnjnhm-1","MonoCD14"
"aalodjdi-1","Plasma_cell"
"aalpfpie-1","Erythroid"
"aalpplfi-1","Neutrophil"
"aamabgnj-1","HSC"
"aambnlin-1","Plasma_cell"
"aamcfmja-1","CTL"
"aamdjdlp-1","CTL"
"aamedfol-1","Plasma_cell"
"aamfbkcn-1","Plasma_cell"
"aamfnjlc-1","Erythroid"
"aamhbddn-1","Erythroid"
"aamhpfjp-1","Erythroid"
"aamidmle-1","B_memory"
"aamikokg-1","Erythroid"
"aamindgg-1","Erythroid"
"aammghbi-1","Plasma_cell"
"aammlckg-1","Erythroid"
"aammpkne-1","Plasma_cell"
"aamniceo-1","Neutrophil"
"aamnmfbm-1","Erythroid"
"aamofafk-1","B_naive"
"aampaemk-1","HSC"
"aanabodf-1","Erythroid"
"aanaemlc-1","Erythroid"
"aanagpmd-1","Neutrophil"
"aanalkpb-1","CTL"
"aanblfnm-1","Plasma_cell"
"aandigbh-1","MonoCD14"
"aandpfpa-1","B_naive"
"aanhcjio-1","Neutrophil"
"aanikgbo-1","Plasma_cell"
"aanjglej-1","CD4_Tcm"
"aanjhaco-1","Erythroid"
"aanjhohf-1","B_naive"
"aankahlj-1","Erythroid"
"aankddgk-1","B_naive"
"aankhcll-1","Granulocyte_monocyte_progenitor"
"aankkfkc-1","Neutrophil"
"aanlenea-1","Plasma_cell"
"aanlkcab-1","Neutrophil"
"aanmcbic-1","CTL"
"aannajbh-1","Erythroid"
"aannbbjp-1","CD8_T_memory"
"aanoffem-1","Erythroid"
"aanofgdb-1","Erythroid"
"aanpgbje-1","Neutrophil"
"aaoakapn-1","Erythroid"
"aaobdnbj-1","Plasma_cell"
"aaocdbhm-1","Neutrophil"
"aaodlcnf-1","CTL"
"aaodndbk-1","Erythroid"
"aaoggfdi-1","Neutrophil"
"aaojkbdb-1","Neutrophil"
"aaokjjbj-1","Neutrophil"
"aaolloeg-1","Neutrophil"
"aaomaenl-1","HSC"
"aaommjbl-1","Neutrophil"
"aaonbcje-1","Erythroid"
"aaoonjok-1","Neutrophil"
"aaopdkcb-1","HSC"
"aaopghog-1","CD4_T_memory"
"aaopokhn-1","Neutrophil"
"aapahemh-1","MonoCD14"
"aapapofj-1","Erythroid"
"aapbkbdd-1","Neutrophil"
"aapbobpk-1","Neutrophil"
"aapcncgl-1","Neutrophil"
"aapdhogj-1","Erythroid"
"aapefhke-1","Plasma_cell"
"aapepedj-1","Neutrophil"
"aapeppca-1","Plasma_cell"
"aapfmdmd-1","CTL"
"aapgapjm-1","Plasma_cell"
"aapgljpj-1","Plasma_cell"
"aaphgebb-1","Plasma_cell"
"aaplhoal-1","Nonhaem"
"aapljjbh-1","Plasma_cell"
"aapmgeeh-1","Plasma_cell"
"aapmheak-1","Erythroid"
"aapmkfgo-1","CTL"
"aapmmlii-1","Granulocyte_monocyte_progenitor"
"aapmofal-1","Neutrophil"
"aapmpioj-1","Erythroid"
"aapnifcc-1","Erythroid"
"aapokenp-1","MonoCD14"
"aapomhig-1","HSC"
"aapophcj-1","Neutrophil"
"aappgaea-1","Neutrophil"
"aapppacg-1","Erythroid"
"ababakbd-1","Erythroid"
"ababdkeg-1","Plasma_cell"
"abacjfpk-1","Erythroid"
"abacjlhh-1","Neutrophil"
"abacommc-1","Nonhaem"
"abadbmgg-1","Neutrophil"
"abadeopo-1","B_naive"
"abaemkfc-1","Plasma_cell"
"abagfpml-1","Neutrophil"
"abagofli-1","Erythroid"
"abahfpmj-1","Erythroid"
"abaifgmk-1","Erythroid"
"abaijcbl-1","Granulocyte_monocyte_progenitor"
"abaijgni-1","Erythroid"
"abaipbnc-1","Plasma_cell"
"abajjcok-1","HSC"
"abajjell-1","Erythroid"
"abajongl-1","Plasma_cell"
"abaldiin-1","Plasma_cell"
"abalpfil-1","Neutrophil"
"abamfdil-1","Erythroid"
"abamflan-1","CTL"
"abanklfg-1","B_memory"
"abanldnh-1","B_naive"
"abanpbjp-1","Erythroid"
"abapajcm-1","Neutrophil"
"abbbegae-1","Erythroid"
"abbbkikh-1","Plasma_cell"
"abbbomoj-1","Plasma_cell"
"abbcebko-1","Plasma_cell"
"abbddnae-1","Neutrophil"
"abbdjjdh-1","MonoCD14"
"abbejoin-1","CTL"
"abbeoeap-1","Erythroid"
"abbfejif-1","CD8_T_memory"
"abbgehmj-1","Plasma_cell"
"abbgnnlg-1","HSC"
"abbhcjpa-1","Neutrophil"
"abbhmkfb-1","B_memory"
"abbidjef-1","Plasma_cell"
"abbikljf-1","Neutrophil"
"abbipceb-1","B_naive"
"abbjebjk-1","Macrophage"
"abbkeheo-1","Erythroid"
"abbkgjik-1","MonoCD16"
"abbldgel-1","Plasma_cell"
"abbldpdf-1","Neutrophil"
"abblejkf-1","Erythroid"
"abblimib-1","Erythroid"
"abbmfdfi-1","Plasma_cell"
"abbobabg-1","Neutrophil"
"abcaaggn-1","Neutrophil"
"abcapffm-1","HSC"
"abcbinfa-1","Neutrophil"
"abcdjfoc-1","B_naive"
"abcdpmjd-1","Neutrophil"
"abcfnhbi-1","Platelet"
"abcgknal-1","Plasma_cell"
"abcgnhcp-1","Nonhaem"
"abchbfea-1","Plasma_cell"
"abchegia-1","Erythroid"
"abchoido-1","Plasma_cell"
"abcjdkcl-1","Macrophage"
"abcjkcdd-1","Neutrophil"
"abclcgee-1","Neutrophil"
"abcmcacn-1","Plasma_cell"
"abcmiehk-1","Erythroid"
"abcoafkc-1","Plasma_cell"
"abcpjgag-1","Plasma_cell"
"abcpogik-1","Erythroid"
"abdaeeim-1","MonoCD14"
"abdbikfc-1","Erythroid"
"abdcacji-1","Erythroid"
"abdeomij-1","Erythroid"
"abdfclmp-1","Neutrophil"
"abdfiaeo-1","Plasma_cell"
"abdgicmm-1","HSC"
"abdhcgpj-1","Neutrophil"
"abdhlpph-1","MAIT_gdT"
"abdhoffo-1","CD4_Tcm"
"abdholij-1","HSC"
"abdibefb-1","Neutrophil"
"abdijjde-1","HSC"
"abdkpdnc-1","Neutrophil"
"abdlonen-1","Neutrophil"
"abdmccpo-1","Neutrophil"
"abdmceoo-1","BaEoMa"
"abdmfbkj-1","Macrophage"
"abdmlmab-1","Plasma_cell"
"abdnlphp-1","Erythroid"
"abdnolge-1","HSC"
"abdobaef-1","Macrophage"
"abdofpfd-1","Erythroid"
"abdogknp-1","Plasma_cell"
"abdpajll-1","Plasma_cell"
"abeadcmp-1","Neutrophil"
"abecjdli-1","MonoCD14"
"abecpaff-1","Plasma_cell"
"abedajdo-1","CD8_T_memory"
"abedflkp-1","CTL"
"abeecfdm-1","Erythroid"
"abeecgdg-1","Erythroid"
"abeedkch-1","HSC"
"abefikfo-1","Neutrophil"
"abeflaka-1","Neutrophil"
"abeflhhm-1","Macrophage"
"abehbjfl-1","MonoCD14"
"abehgpco-1","Plasma_cell"
"abehhpkm-1","Granulocyte_monocyte_progenitor"
"abeifhgp-1","B_naive"
"abeihofp-1","HSC"
"abeinija-1","HSC"
"abeippbj-1","Plasma_cell"
"abejkhmo-1","Neutrophil"
"abekpikp-1","Erythroid"
"abeljepf-1","Neutrophil"
"abemibcb-1","Neutrophil"
"abemoljp-1","Erythroid"
"abenehhh-1","Macrophage"
"abenmhgl-1","Neutrophil"
"abepcdgi-1","Erythroid"
"abfdjabf-1","Erythroid"
"abfejfoa-1","Erythroid"
"abffjafk-1","Neutrophil"
"abffkojk-1","HSC"
"abfgkmoi-1","MonoCD14"
"abfgnmdf-1","HSC"
"abfhkmeo-1","Neutrophil"
"abfhnlee-1","MonoCD14"
"abfkekpf-1","MonoCD14"
"abfkkmle-1","HSC"
"abflcfdc-1","Neutrophil"
"abflgfkb-1","Neutrophil"
"abfneabi-1","MonoCD14"
"abfobdbl-1","MonoCD14"
"abfojkmk-1","CTL"
"abfpgldf-1","MonoCD14"
"abgbmkol-1","Neutrophil"
"abgceopg-1","Plasma_cell"
"abgcppne-1","Granulocyte_monocyte_progenitor"
"abgeaado-1","Erythroid"
"abgeocgj-1","Neutrophil"
"abgfkecj-1","Erythroid"
"abggmjfa-1","Neutrophil"
"abgihekb-1","Neutrophil"
"abgioonh-1","Granulocyte_monocyte_progenitor"
"abgjiemi-1","HSC"
"abgjnjap-1","Neutrophil"
"abgkgpcp-1","Erythroid"
"abglnhnm-1","Granulocyte_monocyte_progenitor"
"abglogaa-1","Erythroid"
"abgmanom-1","Plasma_cell"
"abgmbkjb-1","B_memory"
"abgmfdlg-1","Erythroid"
"abgnnlpe-1","Plasma_cell"
"abgpoboe-1","Neutrophil"
"abhbhocl-1","Erythroid"
"abhcbdip-1","Erythroid"
"abhdknmn-1","B_naive"
"abhdlibg-1","Platelet"
"abhdlknn-1","Plasma_cell"
"abhefnch-1","Erythroid"
"abhefped-1","HSC"
"abhfgaoc-1","Erythroid"
"abhfnkgn-1","Neutrophil"
"abhfohgp-1","B_progenitor"
"abhhagak-1","HSC"
"abhhbahi-1","Erythroid"
"abhilgae-1","Neutrophil"
"abhinbbl-1","B_naive"
"abhjohio-1","Erythroid"
"abhkamao-1","Erythroid"
"abhkcfao-1","Erythroid"
"abhkcgak-1","Erythroid"
"abhkdkfa-1","Erythroid"
"abhkhhpg-1","Neutrophil"
"abhmkolj-1","Erythroid"
"abhmojol-1","Erythroid"
"abhmplfl-1","Neutrophil"
"abhnbjbk-1","Platelet"
"abhollek-1","Neutrophil"
"abhpoeck-1","Erythroid"
"abiaahhf-1","Neutrophil"
"abibbmnj-1","Plasma_cell"
"abibcdda-1","CD8_T_memory"
"abiblaic-1","Erythroid"
"abicgnib-1","HSC"
"abidgipa-1","Neutrophil"
"abidpcpj-1","B_memory"
"abidpkij-1","Neutrophil"
"abiehfnn-1","Neutrophil"
"abienhkc-1","Erythroid"
"abienmlf-1","Neutrophil"
"abihijml-1","Neutrophil"
"abihmedf-1","Neutrophil"
"abihpjno-1","MonoCD14"
"abiibimg-1","Erythroid"
"abiidejn-1","B_naive"
"abiiejik-1","Granulocyte_monocyte_progenitor"
"abijbfok-1","MonoCD14"
"abijfigk-1","Granulocyte_monocyte_progenitor"
"abijggib-1","Erythroid"
"abijhden-1","Neutrophil"
"abikhbgo-1","Plasma_cell"
"abiklfcb-1","Erythroid"
"abinebgi-1","Platelet"
"abinhngl-1","Neutrophil"
"abinjklg-1","Erythroid"
"abinpphf-1","Erythroid"
"abiodggc-1","MonoCD14"
"abipdhkm-1","Plasma_cell"
"abjcakcg-1","Plasma_cell"
"abjcnhoj-1","Erythroid"
"abjdeohe-1","Erythroid"
"abjdgboc-1","Erythroid"
"abjebhao-1","B_memory"
"abjeccbh-1","MonoCD14"
"abjfhhgj-1","Plasma_cell"
"abjgjojo-1","Erythroid"
"abjhmjfo-1","Erythroid"
"abjifcfe-1","Erythroid"
"abjipgfc-1","Neutrophil"
"abjjkboa-1","Erythroid"
"abjkdkig-1","Erythroid"
"abjkffac-1","B_memory"
"abjkgacj-1","Neutrophil"
"abjlibik-1","Neutrophil"
"abjmeene-1","B_progenitor"
"abjmknaa-1","Erythroid"
"abjmpdno-1","B_memory"
"abjngfmp-1","Plasma_cell"
"abjnilcj-1","Erythroid"
"abjoenii-1","B_naive"
"abkbhbjm-1","Neutrophil"
"abkblcbd-1","Neutrophil"
"abkcbijb-1","HSC"
"abkcldbn-1","Nonhaem"
"abkdbfbf-1","Plasma_cell"
"abkdjlae-1","Neutrophil"
"abkgemff-1","MonoCD14"
"abkgicgh-1","MonoCD14"
"abkhiiip-1","Neutrophil"
"abkiblgf-1","Plasma_cell"
"abkiciac-1","Neutrophil"
"abkipjaj-1","Neutrophil"
"abkjdioe-1","MonoCD14"
"abkkfkfl-1","Plasma_cell"
"abkkldlm-1","Neutrophil"
"abkknpbo-1","Plasma_cell"
"abklblod-1","Neutrophil"
"abkneign-1","Erythroid"
"abkobbkn-1","Erythroid"
"abkoeekk-1","Erythroid"
"abladebd-1","B_naive"
