"","celltype"
"aaaamkal-1","MonoCD14"
"aaabekki-1","Erythroid"
"aaabnofk-1","B_memory"
"aaafjnfn-1","Nonhaem"
"aaakhmae-1","Platelet"
"aaaloglc-1","HSC"
"aaamemfk-1","Erythroid"
"aaandkcf-1","HSC"
"aaapffjp-1","Erythroid"
"aabadigc-1","Erythroid"
"aabaemmd-1","MonoCD14"
"aabbhklf-1","Erythroid"
"aabcaoeh-1","Neutrophil"
"aabcfmjo-1","Erythroid"
"aabdgafi-1","B_progenitor"
"aabiklcg-1","Granulocyte_monocyte_progenitor"
"aabilmdd-1","CD4_T_memory"
"aabkdemh-1","Erythroid"
"aabociaj-1","Erythroid"
"aabpcemg-1","Erythroid"
"aabpkhhp-1","Plasma_cell"
"aacadiel-1","CD8_T_memory"
"aacankok-1","HSC"
"aacbcogc-1","Erythroid"
"aaccjpeh-1","MonoCD14"
"aacdejkp-1","Erythroid"
"aacfopbo-1","MonoCD14"
"aachiafj-1","Neutrophil"
"aacnodgl-1","Neutrophil"
"aacphndf-1","Erythroid"
"aadccjjd-1","Neutrophil"
"aadcehpp-1","Erythroid"
"aadeefgg-1","Erythroid"
"aadgcfnb-1","B_progenitor"
"aadgiibl-1","HSC"
"aadgjdgh-1","CD8_T_naive"
"aadhbjgh-1","Neutrophil"
"aadhglom-1","Neutrophil"
"aadieilc-1","Neutrophil"
"aadjgcka-1","Neutrophil"
"aadldmaa-1","MonoCD14"
"aadpkaeb-1","Plasma_cell"
"aaehgnjh-1","Erythroid"
"aaeiilpf-1","NK_cell"
"aaeiimpf-1","Plasma_cell"
"aaeilind-1","CD8_T_naive"
"aaelmpck-1","CD4_T_naive"
"aaepmekc-1","Erythroid"
"aafeefjh-1","MonoCD14"
"aafgcpfc-1","Neutrophil"
"aafhlghc-1","Nonhaem"
"aafinaap-1","Erythroid"
"aafjgbmk-1","B_memory"
"aafkiafi-1","MonoCD14"
"aafkmpfh-1","Erythroid"
"aagcelek-1","MonoCD14"
"aagcpfck-1","Erythroid"
"aagemcin-1","CTL"
"aagkbcem-1","Granulocyte_monocyte_progenitor"
"aagkfldi-1","Plasma_cell"
"aagkohbb-1","CTL"
"aagkpalf-1","Erythroid"
"aagljdlf-1","Neutrophil"
"aagmapni-1","CD8_T_naive"
"aagmjdil-1","Erythroid"
"aagnnahp-1","Erythroid"
"aagogllh-1","Erythroid"
"aagpblmf-1","CTL"
"aagpdhjl-1","CTL"
"aagpeego-1","Erythroid"
"aagpiaof-1","Erythroid"
"aahbdkce-1","Erythroid"
"aahcfiac-1","B_progenitor"
"aahdgmbo-1","Granulocyte_monocyte_progenitor"
"aahdikip-1","Granulocyte_monocyte_progenitor"
"aahedemg-1","Erythroid"
"aahgfjeg-1","Erythroid"
"aahghgeb-1","Erythroid"
"aahjkdae-1","Granulocyte_monocyte_progenitor"
"aahkfjne-1","Erythroid"
"aaholjcc-1","Plasma_cell"
"aaiabcpf-1","Neutrophil"
"aaicfdfo-1","Plasma_cell"
"aaidhaec-1","CD4_T_memory"
"aaiemcnb-1","Granulocyte_monocyte_progenitor"
"aaifbbmf-1","Erythroid"
"aaifbhde-1","Neutrophil"
"aaifficd-1","Erythroid"
"aaikmogk-1","Plasma_cell"
"aaikoedf-1","Erythroid"
"aaimfijh-1","Erythroid"
"aaiopcpm-1","MonoCD16"
"aaipehbh-1","Neutrophil"
"aajcgejm-1","Neutrophil"
"aajhegok-1","CTL"
"aajjdogb-1","Platelet"
"aajnlbai-1","CD8_T_memory"
"aajoedhp-1","Erythroid"
"aajpjeeb-1","Erythroid"
"aajpnjeo-1","T_prolifer"
"aakaidkp-1","Erythroid"
"aakaplke-1","pDC"
"aakcgjgh-1","Erythroid"
"aakdmopg-1","HSC"
"aakfakjm-1","Neutrophil"
"aakgoecb-1","B_naive"
"aakhdebj-1","Neutrophil"
"aakhmfkp-1","Neutrophil"
"aakjlgne-1","MonoCD14"
"aakkcihk-1","Erythroid"
"aakpifff-1","Erythroid"
"aakpncbg-1","Neutrophil"
"aalcfmjg-1","Neutrophil"
"aaldekob-1","Nonhaem"
