"","celltype"
"aaaeckpg-1","Nonhaem"
"aaaekaib-1","CD8_T_memory"
"aaajhpoe-1","B_memory"
"aaajnieh-1","B_memory"
"aaakomkf-1","Nonhaem"
"aaalaijn-1","B_memory"
"aaamgknf-1","B_memory"
"aaanlonb-1","B_memory"
"aaanocnc-1","Nonhaem"
"aaaoinja-1","CD4_T_memory"
"aabjebin-1","B_memory"
"aabjhejd-1","B_memory"
"aabjmgik-1","B_memory"
"aabllaoc-1","B_memory"
"aabmbnhk-1","CD8_T_memory"
"aabnabnb-1","B_memory"
"aabndpmb-1","B_memory"
"aabnfnca-1","B_memory"
"aacfnpib-1","Nonhaem"
"aackkgbm-1","CD4_T_naive"
"aaclllpb-1","NK_cell"
"aadcaogn-1","B_memory"
"aaddblno-1","CTL"
"aadfmldn-1","BaEoMa"
"aadjcaik-1","MAIT_gdT"
"aadmfoeb-1","Neutrophil"
"aadmmdig-1","MonoCD14"
"aadnhpbl-1","B_progenitor"
"aadofbib-1","Macrophage"
"aadopehj-1","CD4_T_memory"
"aadpcmei-1","Nonhaem"
"aaeajhcj-1","Nonhaem"
"aaeghlij-1","Erythroid"
"aaekdmil-1","Erythroid"
"aaepeaej-1","Granulocyte_monocyte_progenitor"
"aafcoonl-1","Macrophage"
"aafiooge-1","Nonhaem"
"aafipefj-1","B_naive"
"aageedem-1","Erythroid"
"aagfdnmp-1","Erythroid"
"aaghnboc-1","Erythroid"
"aagkccjj-1","Erythroid"
"aagmpehk-1","Erythroid"
"aagngobb-1","Erythroid"
"aahbgmob-1","Erythroid"
"aahgbpan-1","Erythroid"
"aahlnlpf-1","Erythroid"
"aahmdnif-1","Nonhaem"
"aahmeogj-1","Erythroid"
"aahmjahb-1","B_memory"
"aahnhdhb-1","Erythroid"
"aahoiali-1","MonoCD14"
"aahonahd-1","Neutrophil"
"aaicceef-1","MonoCD14"
"aaicdmko-1","Neutrophil"
"aaichkbj-1","Erythroid"
"aaicknkd-1","Macrophage"
"aaicojel-1","MonoCD14"
"aaidjned-1","Granulocyte_monocyte_progenitor"
"aaifnpoc-1","Neutrophil"
"aaigbkep-1","Nonhaem"
"aaigdlfn-1","Macrophage"
"aaihabhe-1","Erythroid"
"aaihcopi-1","Macrophage"
"aaihikok-1","Neutrophil"
"aaiijaia-1","Macrophage"
"aaikhfie-1","Nonhaem"
"aailjemh-1","Nonhaem"
"aaimbnmo-1","HSC"
"aaimcema-1","CD8_T_memory"
"aaimklbf-1","Erythroid"
"aaimnpbl-1","Neutrophil"
"aaiohhpa-1","Granulocyte_monocyte_progenitor"
"aaioohfm-1","HSC"
"aaippjce-1","B_memory"
"aajdamnb-1","CTL"
"aajdfcfp-1","Nonhaem"
"aajdhlll-1","Nonhaem"
"aajdnkpg-1","Nonhaem"
"aajdolbg-1","Nonhaem"
"aajibalp-1","B_memory"
"aajiccek-1","B_memory"
"aajjfdei-1","Erythroid"
"aajjijjn-1","HSC"
"aajolnef-1","Erythroid"
"aakalpnf-1","NK_cell"
"aakdjebl-1","Neutrophil"
"aakfinib-1","MonoCD14"
"aakojbam-1","Erythroid"
"aakppoja-1","Neutrophil"
"aaldiejp-1","Erythroid"
"aaldjnmc-1","Granulocyte_monocyte_progenitor"
"aalfioij-1","Neutrophil"
"aalgdmhj-1","Erythroid"
"aaliiodi-1","Neutrophil"
"aaljbnkb-1","B_naive"
"aallkbaf-1","Granulocyte_monocyte_progenitor"
"aallpljj-1","Nonhaem"
"aalopgoc-1","B_memory"
"aamfhfkp-1","Neutrophil"
"aamhmdcg-1","Neutrophil"
"aamhmlde-1","Neutrophil"
"aamhmomk-1","Neutrophil"
"aamjemae-1","Macrophage"
"aamjjpdd-1","Neutrophil"
"aamkhfoj-1","Granulocyte_monocyte_progenitor"
"aamlohai-1","Erythroid"
"aammfjaj-1","Neutrophil"
"aammicpl-1","Erythroid"
"aammlcaj-1","HSC"
"aamnnokm-1","HSC"
"aamoldjb-1","Granulocyte_monocyte_progenitor"
"aanefgml-1","B_progenitor"
"aanmbkfb-1","Neutrophil"
"aanmnhmm-1","Erythroid"
"aaodnjbm-1","pDC"
"aaoeehgg-1","Erythroid"
"aaoendnp-1","Erythroid"
"aaogadnp-1","Macrophage"
"aaognolh-1","Erythroid"
"aaologda-1","MonoCD14"
"aaomlncl-1","Neutrophil"
"aaonfdfl-1","Granulocyte_monocyte_progenitor"
"aapmmenb-1","Erythroid"
"abanjjni-1","Erythroid"
"abbpegkb-1","Erythroid"
"abcahfnf-1","Erythroid"
"abcneojk-1","HSC"
"abdbafgh-1","Neutrophil"
"abdbmggg-1","Erythroid"
"abdcpjic-1","Erythroid"
"abdebfoe-1","Granulocyte_monocyte_progenitor"
"abdjooie-1","Macrophage"
"abdlaocf-1","Erythroid"
"abdmbdlp-1","Nonhaem"
"abdpampc-1","Erythroid"
"abeemiec-1","Macrophage"
"abejbnbj-1","Erythroid"
"abfbjcjf-1","MonoCD14"
"abfeholg-1","Nonhaem"
"abffakhc-1","MonoCD14"
"abfiifjh-1","Macrophage"
"abfklhkp-1","Erythroid"
"abfnbcml-1","HSC"
"abfpbjon-1","pDC"
"abgahnng-1","Erythroid"
"abgmcbcd-1","Erythroid"
"abhbkkia-1","HSC"
"abhfboci-1","B_progenitor"
"abhiacfe-1","HSC"
"abhjhlja-1","Erythroid"
"abhkhoed-1","MonoCD14"
"abhoedec-1","Neutrophil"
"abidnhbb-1","Macrophage"
"abiegohj-1","Erythroid"
"abiehjpd-1","Erythroid"
"abifjiop-1","MonoCD14"
