"","celltype"
"aaackejb-1","Plasma_cell"
"aaaephfk-1","B_memory"
"aabefbkh-1","Erythroid"
"aabgackg-1","Macrophage"
"aabgnege-1","Plasma_cell"
"aabkempf-1","Erythroid"
"aabmeaap-1","Plasma_cell"
"aabmhoek-1","Erythroid"
"aabofgia-1","CTL"
"aabopagm-1","Plasma_cell"
"aacaffki-1","Macrophage"
"aacanjja-1","HSC"
"aacbpdml-1","MonoCD14"
"aacdbpkc-1","Plasma_cell"
"aacgliga-1","Erythroid"
"aackkdjp-1","Plasma_cell"
"aacloija-1","Erythroid"
"aacmpdoa-1","Macrophage"
"aacnmakf-1","Macrophage"
"aadhgejp-1","Plasma_cell"
"aadicfdj-1","Neutrophil"
"aadmnhmo-1","Erythroid"
"aadnppdb-1","CTL"
"aadpknio-1","Erythroid"
"aaecnadg-1","Erythroid"
"aaeeeflg-1","Erythroid"
"aaegbgog-1","Granulocyte_monocyte_progenitor"
"aaehajce-1","Nonhaem"
"aaeojfdl-1","Plasma_cell"
"aaepolno-1","pDC"
"aafhbmij-1","Plasma_cell"
"aafknalk-1","CTL"
"aafmeiob-1","Erythroid"
"aafnpiog-1","B_progenitor"
"aafoflge-1","NK_cell"
"aafpinfd-1","Plasma_cell"
"aagbhaib-1","B_progenitor"
"aagcjiap-1","CTL"
"aagcldfp-1","pDC"
"aagdefll-1","Erythroid"
"aagfgfli-1","Neutrophil"
"aagfklfe-1","NK_cell"
"aagmganc-1","MonoCD14"
"aagnhklc-1","Erythroid"
"aagnhlnf-1","Neutrophil"
"aagojkkd-1","Macrophage"
"aagpadjm-1","Plasma_cell"
"aahadogb-1","Erythroid"
"aahdhlbl-1","Plasma_cell"
"aahjdlnj-1","Plasma_cell"
"aahkfghk-1","CTL"
"aahonlcd-1","Erythroid"
"aaicnmcg-1","Neutrophil"
"aaidecmo-1","B_progenitor"
"aaiiebmb-1","Erythroid"
"aaijecpc-1","Plasma_cell"
"aaimddie-1","Plasma_cell"
"aainbmph-1","CTL"
"aaioffan-1","Plasma_cell"
"aajcneim-1","Nonhaem"
"aajeemho-1","Plasma_cell"
"aajhhcjj-1","Neutrophil"
"aajiabfg-1","CD4_Tcm"
"aajjcggl-1","pDC"
"aajnabnf-1","Nonhaem"
"aajodaaf-1","Plasma_cell"
"aakballl-1","Plasma_cell"
"aakbdnnc-1","HSC"
"aakghpfl-1","NK_cell"
"aakkikpo-1","Plasma_cell"
"aakkljng-1","Macrophage"
"aakpgmja-1","T_prolifer"
"aaldajek-1","Plasma_cell"
"aalfmpib-1","Plasma_cell"
"aaliakla-1","Plasma_cell"
"aaljaplc-1","Plasma_cell"
"aaljpjhi-1","Neutrophil"
"aalkgejb-1","Erythroid"
"aalldfdp-1","Plasma_cell"
"aalmbage-1","B_progenitor"
"aamdcapl-1","Plasma_cell"
"aamdifgj-1","Neutrophil"
"aameicei-1","Plasma_cell"
"aamgaifh-1","Neutrophil"
"aamgeeik-1","Erythroid"
"aamimekg-1","Plasma_cell"
"aammhack-1","Plasma_cell"
"aammpadg-1","Neutrophil"
"aamoblol-1","Neutrophil"
"aamoloig-1","Plasma_cell"
"aanadgpk-1","Plasma_cell"
"aanbcdki-1","Macrophage"
"aanbnckg-1","B_naive"
"aandhgab-1","Neutrophil"
"aanelpjg-1","Plasma_cell"
"aanfdanf-1","Granulocyte_monocyte_progenitor"
"aanjjikh-1","Neutrophil"
