"","celltype"
"aaaaligl-1","HSC"
"aaafjfbd-1","MonoCD14"
"aaafmdpn-1","Granulocyte_monocyte_progenitor"
"aaagenfa-1","Granulocyte_monocyte_progenitor"
"aaajpoko-1","HSC"
"aabboalm-1","Neutrophil"
"aabfdenk-1","CD4_T_naive"
"aabjiibb-1","Erythroid"
"aacbaibp-1","Erythroid"
"aacbfcpb-1","HSC"
"aacbmlmp-1","Neutrophil"
"aacbnopg-1","Erythroid"
"aacdjjkn-1","Nonhaem"
"aacfgdpf-1","Erythroid"
"aacikfpd-1","CD4_T_naive"
"aaciknbc-1","Nonhaem"
"aacmldni-1","Nonhaem"
"aacpagpg-1","HSC"
"aadcjlgm-1","Neutrophil"
"aadjjbag-1","Neutrophil"
"aadjkoli-1","Neutrophil"
"aadkeafi-1","B_naive"
"aadlpbfg-1","Neutrophil"
"aadnijfl-1","Macrophage"
"aadpmoio-1","Erythroid"
"aaeccocg-1","Erythroid"
"aaehhclo-1","Neutrophil"
"aaehifpp-1","Neutrophil"
"aaejamce-1","HSC"
"aaelbemf-1","Erythroid"
"aaephfcp-1","B_progenitor"
"aafagmbo-1","HSC"
"aafahemb-1","Macrophage"
"aafbioib-1","Nonhaem"
"aafcejdb-1","Macrophage"
"aafjfcbo-1","Neutrophil"
"aaflcdpk-1","Neutrophil"
"aaflhamp-1","CD4_T_naive"
"aafoflhf-1","Neutrophil"
"aagcojkf-1","Granulocyte_monocyte_progenitor"
"aagdbmmh-1","B_progenitor"
"aagenglh-1","MonoCD14"
"aagjbklo-1","MonoCD14"
"aagodhgb-1","Erythroid"
"aahedekc-1","Erythroid"
"aahgijjb-1","B_naive"
"aahigada-1","Nonhaem"
"aahjcleo-1","Nonhaem"
"aahkjjnl-1","HSC"
"aahpjkfb-1","Erythroid"
"aahploil-1","MonoCD14"
"aaiaoaoh-1","MonoCD14"
"aaibfenn-1","Nonhaem"
"aaicpgff-1","Macrophage"
"aaidcgpa-1","Neutrophil"
"aaiiebfb-1","Erythroid"
"aaiipeje-1","Erythroid"
"aaijhehd-1","Erythroid"
"aaikhkha-1","CD8_T_memory"
"aailejbk-1","Neutrophil"
"aailepil-1","Nonhaem"
"aailfgfn-1","Granulocyte_monocyte_progenitor"
"aaimemgp-1","Erythroid"
"aaiocabi-1","MonoCD14"
"aaiojdnb-1","Erythroid"
"aajaiigk-1","Nonhaem"
"aajfceag-1","Erythroid"
"aajhadmp-1","Erythroid"
"aajhbhph-1","Macrophage"
"aajhnafn-1","Macrophage"
"aajjhngo-1","Macrophage"
