"","celltype"
"aacikmoi-1","Platelet"
"aaclocip-1","Erythroid"
"aadehbne-1","Erythroid"
"aadffpkh-1","MonoCD14"
"aadpnplk-1","pDC"
"aaeklglo-1","Erythroid"
"aaffjcpa-1","Erythroid"
"aafhhfjl-1","Erythroid"
"aagdddei-1","Erythroid"
"aahnndjb-1","Erythroid"
"aajddpii-1","Erythroid"
"aalabebf-1","Erythroid"
"aamabeah-1","Erythroid"
"aamajepc-1","Erythroid"
"aamajhpf-1","Erythroid"
"aanmajji-1","Erythroid"
"aanohfhk-1","Erythroid"
"aaocggoh-1","HSC"
"abakoiep-1","Erythroid"
"abbaiklg-1","Erythroid"
"abdegecl-1","Erythroid"
"abdpcbfl-1","Erythroid"
"abebbdhn-1","B_progenitor"
"abefhekl-1","Erythroid"
"abefkkik-1","Erythroid"
"abgfhmpm-1","Erythroid"
"abgibncl-1","Platelet"
"abheokjf-1","Erythroid"
"abjbeeel-1","Granulocyte_monocyte_progenitor"
"abjpfipe-1","Erythroid"
"abjpmahi-1","Platelet"
"abkdbgjp-1","Plasma_cell"
"abkdkalg-1","Erythroid"
"abkgibag-1","Erythroid"
"abkgopbi-1","Erythroid"
"ablbefed-1","Erythroid"
"ablgonmm-1","Erythroid"
"ablifckl-1","Erythroid"
"abliloeb-1","Erythroid"
"ablimjca-1","Erythroid"
"ablkjced-1","B_progenitor"
"ablkjlgk-1","Granulocyte_monocyte_progenitor"
"abmidnjc-1","Erythroid"
"abmiheeh-1","Erythroid"
"abmjdbmf-1","Erythroid"
"abmmbbin-1","Erythroid"
"abmmkkii-1","Erythroid"
"abmnfffn-1","Erythroid"
"abmobcdm-1","Erythroid"
"abngmgff-1","HSC"
"abniejeo-1","Erythroid"
"abnifpic-1","Erythroid"
"abnkbjlc-1","Erythroid"
"abojiici-1","Erythroid"
"abojodle-1","Erythroid"
"abokbpjo-1","Erythroid"
"abokmcbf-1","Erythroid"
"acaiccmi-1","Erythroid"
"acbcpdga-1","Erythroid"
"acbonakh-1","Erythroid"
"accmemcn-1","B_progenitor"
"accmlhdm-1","Erythroid"
"acekemfm-1","Erythroid"
"acelclbb-1","Plasma_cell"
"acfdbkgf-1","Erythroid"
"acfgkghk-1","Erythroid"
"acgkibon-1","Erythroid"
"acgkollm-1","Erythroid"
"achdjlen-1","Erythroid"
"achnkifn-1","Erythroid"
"achnmagp-1","Erythroid"
"achongbf-1","Erythroid"
"achpkjmm-1","Erythroid"
"acidbmhj-1","Erythroid"
"acihpbli-1","Granulocyte_monocyte_progenitor"
"aciljdob-1","Erythroid"
"acjlanpm-1","Granulocyte_monocyte_progenitor"
"ackngemf-1","Platelet"
"aclhepfb-1","Erythroid"
"acmalkch-1","Granulocyte_monocyte_progenitor"
"acnklejc-1","Erythroid"
"acnompca-1","Erythroid"
"acnpghil-1","Erythroid"
"acodcofo-1","Erythroid"
"acohhjoe-1","Platelet"
"acolkfdj-1","Erythroid"
"aconcgpf-1","Erythroid"
"acpfpjia-1","Erythroid"
"acpgamea-1","Erythroid"
"adangbde-1","Erythroid"
"adboilkp-1","HSC"
"adcnjkmm-1","Erythroid"
"adenhjaj-1","Erythroid"
"adfamjhl-1","Erythroid"
"adfdabgg-1","Erythroid"
"adfdchmh-1","Erythroid"
"adflhfek-1","Erythroid"
"adfllpll-1","Erythroid"
"adhfbkpk-1","Erythroid"
"adiceaan-1","Erythroid"
"adicffaa-1","Erythroid"
"adiehhdj-1","Erythroid"
"adifblcj-1","Erythroid"
"adjbhobp-1","Erythroid"
"adjealjl-1","Erythroid"
"adjmoipj-1","Granulocyte_monocyte_progenitor"
"adkkhpdk-1","Erythroid"
"adklichk-1","Erythroid"
"adkmnaff-1","Erythroid"
"adnkpgdk-1","CD4_T_naive"
"aecnmbjd-1","Erythroid"
"aecnnfgf-1","Erythroid"
"aegdkmbb-1","Erythroid"
"aehiickd-1","Erythroid"
"aehmkdbi-1","Erythroid"
"aeilelmb-1","Erythroid"
"aekpelee-1","Erythroid"
"aelcjncg-1","Erythroid"
"aeobpkao-1","Erythroid"
"afcinmgo-1","Erythroid"
"afefemdb-1","Erythroid"
"afghjnjp-1","Platelet"
"afmcpohc-1","Erythroid"
"afmjklpa-1","Erythroid"
"afoblaep-1","Erythroid"
"afoohmkj-1","Erythroid"
"agiikegm-1","Erythroid"
"aglchifj-1","Erythroid"
"aglhhicc-1","Erythroid"
"agmjaadk-1","Erythroid"
"agmmkoim-1","Erythroid"
"agojgldg-1","Erythroid"
"ahapbkhi-1","Erythroid"
"ahapclbb-1","Erythroid"
"ahegamib-1","Erythroid"
"ahhbhlgc-1","Erythroid"
"ahhdebkg-1","Erythroid"
"ainodadk-1","Erythroid"
"ajabfkch-1","Erythroid"
"ajaclbae-1","Erythroid"
"ajaflalp-1","B_progenitor"
"ajahnlao-1","Erythroid"
"ajaihmpn-1","Erythroid"
"ajdaomjp-1","Erythroid"
"ajdhecif-1","Erythroid"
"ajidcjej-1","Erythroid"
"ajjmhcih-1","Erythroid"
"akfnmkpn-1","HSC"
"akgciokm-1","Erythroid"
"akhalmnf-1","Erythroid"
"akhhbmnp-1","Erythroid"
"akhnpckp-1","Erythroid"
"akjalhlf-1","Erythroid"
"akjbfifl-1","Platelet"
"akjchiio-1","Erythroid"
"akjdmhjk-1","Erythroid"
"akjfbcgj-1","Erythroid"
"akjiclag-1","Erythroid"
"aklnhfho-1","Erythroid"
"akmfohom-1","Erythroid"
"akmfomof-1","Erythroid"
"akmgbgbd-1","MonoCD14"
"akmlnpee-1","MonoCD14"
"akmocdoc-1","Erythroid"
"aknbegbe-1","Erythroid"
"akncadhg-1","Erythroid"
"aknncebk-1","Erythroid"
"akolmkoj-1","Erythroid"
"akonadgm-1","Erythroid"
"akoplogd-1","Erythroid"
"akpajebb-1","Erythroid"
"alamcdce-1","Erythroid"
"alanmcdn-1","Erythroid"
"alaphmhl-1","Erythroid"
"albaflmn-1","Erythroid"
"albcidnd-1","Erythroid"
"albcjbag-1","Erythroid"
"albnipcd-1","Erythroid"
"albodhkf-1","Erythroid"
"alcfggan-1","Erythroid"
"alhdbdfk-1","Erythroid"
"alkkgnfj-1","Erythroid"
"amciekcf-1","Erythroid"
"ameeodfm-1","Erythroid"
"amgmaoii-1","Erythroid"
"ampoelpa-1","Erythroid"
"anaajjaj-1","Erythroid"
"anajdach-1","Erythroid"
"analabho-1","Erythroid"
"analipnk-1","Erythroid"
"anamdgbc-1","Erythroid"
"anamkihf-1","Erythroid"
"anaokhad-1","Erythroid"
"anapfecn-1","Erythroid"
"anbcgkej-1","Erythroid"
"anbgojbd-1","Erythroid"
"anbhihlb-1","Erythroid"
"anbhodkl-1","Erythroid"
"anbpkmhg-1","Erythroid"
"ancfckgf-1","Erythroid"
"ancffhjn-1","Erythroid"
"anchlcbj-1","Erythroid"
"andacoob-1","Erythroid"
"andgiidd-1","Erythroid"
"aneahpog-1","Erythroid"
"anfgbaik-1","Erythroid"
"angjecgc-1","Granulocyte_monocyte_progenitor"
"anglphje-1","Erythroid"
"angnefkl-1","Erythroid"
"anhajibj-1","Erythroid"
"anhblgfe-1","Erythroid"
"anhddigi-1","Erythroid"
"anhehcgk-1","Erythroid"
"anhfphcn-1","Erythroid"
"anhjjdfi-1","Erythroid"
"anhoeadh-1","Erythroid"
"anibajmc-1","Erythroid"
"aniehogg-1","Erythroid"
"anikjgln-1","Granulocyte_monocyte_progenitor"
"anioojlf-1","Erythroid"
"anjckafb-1","Erythroid"
"anjclhdg-1","Erythroid"
"anjdmfaf-1","Erythroid"
"anjjbool-1","Erythroid"
"anjmeebp-1","Erythroid"
"anjnlfom-1","HSC"
"anjnoaac-1","Erythroid"
"anjobhhi-1","Erythroid"
"anjofeje-1","Erythroid"
"anjpifpo-1","Erythroid"
"ankcihgo-1","Erythroid"
"ankjdelg-1","Erythroid"
"ankkdhdi-1","Erythroid"
"ankmhcbo-1","Erythroid"
"ankmlmhk-1","Erythroid"
"ankpdgcl-1","Erythroid"
"ankpnpie-1","Erythroid"
"ankpodcj-1","Erythroid"
"anlccefo-1","Erythroid"
"anlcmhco-1","Erythroid"
"anlnopgi-1","Erythroid"
"anlookod-1","MonoCD14"
"anlpgkbo-1","Erythroid"
"anmbpnje-1","B_progenitor"
"anmkdcka-1","Erythroid"
"anmkncjo-1","Erythroid"
"anmlehdh-1","Erythroid"
"anoakccm-1","Erythroid"
"anobijof-1","Erythroid"
"anocgodn-1","Erythroid"
"anoddhnf-1","Erythroid"
"anohepon-1","B_progenitor"
"anolcpak-1","Erythroid"
"anonbopj-1","Erythroid"
"anppjnhe-1","Erythroid"
"aoabmooh-1","Erythroid"
"aocdmaej-1","Erythroid"
"aocfoihc-1","Erythroid"
"aochngek-1","Erythroid"
"aockcdod-1","Erythroid"
"aoclilal-1","Erythroid"
"aocpikga-1","Erythroid"
"aodjbgkk-1","HSC"
"aodlaheh-1","Erythroid"
"aoehhndm-1","Erythroid"
"aoehmffi-1","Erythroid"
"aofcmbfk-1","Erythroid"
