"","celltype"
"aaabgcfp-1","B_progenitor"
"aaafhljd-1","B_memory"
"aaaiidgp-1","MonoCD14"
"aaaijblf-1","Neutrophil"
"aaakahio-1","CD4_T_naive"
"aaancphn-1","Neutrophil"
"aaapnjpp-1","Neutrophil"
"aabaabij-1","B_memory"
"aabaggmf-1","Granulocyte_monocyte_progenitor"
"aabccnap-1","NK_cell"
"aabfhdki-1","B_naive"
"aabfjfhb-1","MonoCD14"
"aabijola-1","Neutrophil"
"aabljilg-1","Erythroid"
"aabnfaoj-1","Erythroid"
"aabnfmmf-1","MonoCD14"
"aabnjcgl-1","Erythroid"
"aabpagck-1","Neutrophil"
"aacaoohh-1","B_memory"
"aacbgdad-1","Erythroid"
"aacdeggf-1","Neutrophil"
"aachljdi-1","Neutrophil"
"aacibjcf-1","Granulocyte_monocyte_progenitor"
"aacikofg-1","Erythroid"
"aacjmeed-1","Erythroid"
"aaclkcok-1","Neutrophil"
"aaclmaoc-1","HSC"
"aacmdplj-1","B_memory"
"aacoejgl-1","MonoCD14"
"aacofone-1","B_memory"
"aacpghph-1","Erythroid"
"aacphifi-1","Erythroid"
"aacphjog-1","B_progenitor"
"aadafohg-1","Plasma_cell"
"aadbmmia-1","B_progenitor"
"aadcbnph-1","Neutrophil"
"aadcekpn-1","B_progenitor"
"aadclble-1","Granulocyte_monocyte_progenitor"
"aaddajdf-1","HSC"
"aaddihfn-1","HSC"
"aadeampi-1","Neutrophil"
"aadebdbl-1","HSC"
"aadieicm-1","Neutrophil"
"aadnbhgo-1","Neutrophil"
"aaedaahb-1","MonoCD14"
"aaedcbgp-1","MAIT_gdT"
"aaedccma-1","Plasma_cell"
"aaeddemn-1","MonoCD14"
"aaedhopl-1","Neutrophil"
"aaefpiic-1","Erythroid"
"aaehjnhk-1","HSC"
"aaenpepp-1","B_progenitor"
"aaepgedj-1","B_progenitor"
"aaepkcjj-1","MonoCD14"
"aafbgpob-1","B_progenitor"
"aafbojno-1","HSC"
"aafcknlb-1","Granulocyte_monocyte_progenitor"
"aafcmhng-1","Erythroid"
"aafconnj-1","Erythroid"
"aafdeakg-1","BaEoMa"
"aafdleef-1","HSC"
"aafdmgoi-1","Neutrophil"
"aafecafm-1","Erythroid"
"aafgdlkk-1","Erythroid"
"aafgijli-1","Erythroid"
"aafglheo-1","Erythroid"
"aafgopif-1","Granulocyte_monocyte_progenitor"
"aafhecjo-1","Granulocyte_monocyte_progenitor"
"aafhngap-1","MonoCD14"
"aafkmdcf-1","Neutrophil"
"aafmffcj-1","B_memory"
"aagdmogm-1","Neutrophil"
"aageackp-1","Erythroid"
"aageblef-1","Erythroid"
"aageogja-1","B_naive"
"aagfajek-1","Neutrophil"
"aagolcng-1","B_progenitor"
"aagpbiff-1","HSC"
"aahaiimi-1","Neutrophil"
"aahbaamm-1","Neutrophil"
"aahdgbfe-1","B_memory"
"aahdkgak-1","Neutrophil"
"aahdmnog-1","Granulocyte_monocyte_progenitor"
"aahehhnn-1","MonoCD16"
"aaheokme-1","Neutrophil"
"aahepmeh-1","Neutrophil"
"aahgljli-1","B_naive"
"aahjfhjj-1","MonoCD14"
"aahmelcg-1","Neutrophil"
"aaiacfmi-1","Neutrophil"
"aaiaeidl-1","Neutrophil"
"aaiahcgk-1","Neutrophil"
"aaidhpln-1","T_prolifer"
"aaigopbo-1","Erythroid"
"aaiicoip-1","BaEoMa"
"aaijhehk-1","Neutrophil"
"aaijjeen-1","Erythroid"
"aaikjcld-1","Neutrophil"
"aailmooi-1","CD4_T_naive"
"aainkeeh-1","B_progenitor"
"aaipelih-1","MonoCD14"
"aajcgkmo-1","Neutrophil"
"aajdjano-1","Erythroid"
"aajficlf-1","B_progenitor"
"aajklnmb-1","B_naive"
"aajlkamk-1","Neutrophil"
"aajofded-1","Neutrophil"
"aajojkec-1","MonoCD14"
"aajooooj-1","HSC"
"aakbkkpj-1","HSC"
"aakeddkf-1","Neutrophil"
"aakiehik-1","B_naive"
"aakiijfg-1","MonoCD14"
"aakikjhi-1","Erythroid"
"aaklhkjj-1","B_progenitor"
"aaknkahi-1","B_naive"
"aakpjkda-1","Erythroid"
"aalahbad-1","Nonhaem"
"aaldoanp-1","Neutrophil"
"aalebjcg-1","Macrophage"
"aaljgchn-1","Neutrophil"
"aalkieng-1","Granulocyte_monocyte_progenitor"
"aalkohod-1","B_naive"
"aalkpcif-1","B_naive"
"aalljaei-1","Granulocyte_monocyte_progenitor"
"aameiedp-1","Erythroid"
"aamenaoi-1","Erythroid"
"aamfcnje-1","HSC"
"aamfoemn-1","Macrophage"
"aamginkc-1","Macrophage"
"aamheifo-1","Erythroid"
"aamhfdef-1","Neutrophil"
"aamiidlo-1","B_memory"
"aamjgcin-1","B_naive"
"aamkfgej-1","Erythroid"
"aammjlbg-1","Neutrophil"
"aampmicb-1","Erythroid"
"aanbonlj-1","Neutrophil"
"aancdhpf-1","Nonhaem"
"aanecfan-1","Erythroid"
"aaneijmh-1","CD4_T_naive"
"aanhbinh-1","B_memory"
"aanhiiom-1","MonoCD14"
"aanhkimf-1","MonoCD14"
"aanicdbn-1","Nonhaem"
"aanmkbdk-1","MonoCD14"
"aanocagb-1","MonoCD14"
"aanpnebk-1","Erythroid"
"aanpnnok-1","Granulocyte_monocyte_progenitor"
"aaocejbl-1","MonoCD14"
"aaodokkj-1","Erythroid"
"aaogmjjn-1","Granulocyte_monocyte_progenitor"
"aaohkfgd-1","HSC"
"aaoldobc-1","Neutrophil"
"aaoncbdo-1","HSC"
"aaonlmab-1","MonoCD14"
"aaopfmba-1","Erythroid"
"aapebmab-1","Neutrophil"
"aapgnlbc-1","Erythroid"
"aapiejml-1","HSC"
"aapikbno-1","MonoCD14"
"aapmabpi-1","CD4_T_naive"
"ababaojb-1","Macrophage"
"abacdbpd-1","CD4_T_naive"
"abadcemm-1","Granulocyte_monocyte_progenitor"
"abaeanfh-1","Erythroid"
"abaekfnk-1","Macrophage"
"abahibeb-1","B_memory"
"abaiigoi-1","HSC"
"abaipfnl-1","HSC"
"abaodaje-1","HSC"
"abbaebjk-1","B_progenitor"
"abbaffen-1","CTL"
"abbaiokk-1","Granulocyte_monocyte_progenitor"
"abbcbnih-1","Granulocyte_monocyte_progenitor"
"abbclbae-1","Macrophage"
"abbcliel-1","Macrophage"
"abbeajfc-1","HSC"
"abbhaogf-1","MonoCD14"
"abbjieim-1","B_naive"
"abbnaned-1","Nonhaem"
"abbnnonf-1","Granulocyte_monocyte_progenitor"
"abcbfoba-1","HSC"
"abcemogg-1","B_memory"
"abcgcbkc-1","B_progenitor"
"abcgfpjc-1","HSC"
"abcgmfhf-1","Macrophage"
"abchbnki-1","Neutrophil"
"abchpgeh-1","B_memory"
"abciimmp-1","Erythroid"
"abclocjh-1","Granulocyte_monocyte_progenitor"
"abcnaljh-1","Neutrophil"
"abcomimn-1","Plasma_cell"
"abdaanjp-1","Neutrophil"
"abdbdpbd-1","Nonhaem"
"abdbpmpb-1","Neutrophil"
"abdchbno-1","CD8_T_naive"
"abdcnhed-1","B_progenitor"
"abdekpma-1","B_progenitor"
"abdfbnmd-1","Neutrophil"
"abdfekjd-1","Nonhaem"
"abdgkjnp-1","HSC"
"abdlpgla-1","Neutrophil"
"abdmfgfe-1","Macrophage"
"abdmnaok-1","B_memory"
"abdoanan-1","HSC"
"abeaeknj-1","Nonhaem"
"abeaodcm-1","HSC"
"abebnked-1","HSC"
"abegmfin-1","Plasma_cell"
"abehjbpo-1","MonoCD14"
"abeiabma-1","Erythroid"
"abejnflc-1","Plasma_cell"
"abelccge-1","MonoCD14"
"abelcdko-1","Neutrophil"
"abeoacob-1","Erythroid"
"abfbnnlo-1","T_prolifer"
"abfdcdgg-1","HSC"
"abfheolb-1","Neutrophil"
"abfljdja-1","HSC"
"abfllldf-1","Erythroid"
"abflnied-1","Granulocyte_monocyte_progenitor"
"abfmjdao-1","Neutrophil"
"abgaafpl-1","MonoCD14"
"abgajakk-1","Neutrophil"
"abgbgcli-1","B_progenitor"
"abgcipjb-1","MonoCD14"
"abgebapi-1","Neutrophil"
"abgibnkd-1","Erythroid"
"abgkcidm-1","B_progenitor"
"abgklapp-1","B_progenitor"
"abgolkac-1","B_naive"
"abhbdflm-1","Erythroid"
"abhcichg-1","B_naive"
"abheibln-1","Erythroid"
"abhfpmbl-1","HSC"
