"","celltype"
"aaaagfem-1","Plasma_cell"
"aaabibgo-1","HSC"
"aaabihbf-1","HSC"
"aaablkcg-1","Plasma_cell"
"aaablkkp-1","BaEoMa"
"aaabmcol-1","Plasma_cell"
"aaabomkl-1","Plasma_cell"
"aaadafhb-1","Plasma_cell"
"aaadjjgn-1","Plasma_cell"
"aaadmmnn-1","Erythroid"
"aaadoanc-1","MonoCD14"
"aaaedpec-1","Macrophage"
"aaaeodoj-1","Plasma_cell"
"aaafpjkn-1","Macrophage"
"aaagkefc-1","Neutrophil"
"aaahbidp-1","Neutrophil"
"aaahdiam-1","Plasma_cell"
"aaahdifc-1","Plasma_cell"
"aaahehmm-1","Plasma_cell"
"aaahiabm-1","Erythroid"
"aaahnfao-1","Plasma_cell"
"aaahomdj-1","Granulocyte_monocyte_progenitor"
"aaaicmnf-1","Neutrophil"
"aaajenap-1","Plasma_cell"
"aaajkifg-1","Erythroid"
"aaajlnkc-1","B_memory"
"aaajmapk-1","Erythroid"
"aaajnlpk-1","Granulocyte_monocyte_progenitor"
"aaakepma-1","CTL"
"aaamdlgn-1","Plasma_cell"
"aaamhiak-1","Plasma_cell"
"aaanflof-1","Plasma_cell"
"aaaodcib-1","Erythroid"
"aaaohbcl-1","Erythroid"
"aaaohmko-1","Erythroid"
"aaaojnjg-1","Plasma_cell"
"aaaoobih-1","Erythroid"
"aaapnkjl-1","Plasma_cell"
"aabchkeo-1","Erythroid"
"aabcnnii-1","Plasma_cell"
"aabcpmod-1","Erythroid"
"aabddagc-1","Plasma_cell"
"aabdimbn-1","Plasma_cell"
"aabenpdp-1","Plasma_cell"
"aabgfodm-1","Plasma_cell"
"aabhjmcm-1","Plasma_cell"
"aabhpicc-1","Plasma_cell"
"aabiibbe-1","Plasma_cell"
"aabjbaic-1","CTL"
"aabkajjo-1","Plasma_cell"
"aabkgiof-1","Plasma_cell"
"aabknemj-1","Neutrophil"
"aablpgeh-1","Plasma_cell"
"aabnbgfk-1","Plasma_cell"
"aabniabk-1","Plasma_cell"
"aabnjclo-1","Plasma_cell"
"aabongfe-1","Plasma_cell"
"aabpjlfm-1","HSC"
"aacaebhk-1","Plasma_cell"
"aacagdln-1","Plasma_cell"
"aacagdog-1","Erythroid"
"aacagikf-1","Plasma_cell"
