"","celltype"
"aaaapkin-1","Plasma_cell"
"aaabcnlm-1","Plasma_cell"
"aaabgejm-1","Macrophage"
"aaabjcnj-1","Plasma_cell"
"aaacbldj-1","Nonhaem"
"aaacilep-1","Erythroid"
"aaacinpi-1","Plasma_cell"
"aaadcifl-1","Nonhaem"
"aaaddbad-1","Plasma_cell"
"aaaddgif-1","Plasma_cell"
"aaaejhfn-1","Erythroid"
"aaagdjef-1","Erythroid"
"aaagolob-1","MonoCD14"
"aaahhonk-1","Plasma_cell"
"aaahkjcf-1","MonoCD16"
"aaaigepd-1","Neutrophil"
"aaaipdka-1","Plasma_cell"
"aaakmppn-1","Neutrophil"
"aaalbooj-1","Plasma_cell"
"aaalcmok-1","Plasma_cell"
"aaalpcef-1","NK_cell"
"aaamfikp-1","Plasma_cell"
"aaammefb-1","Plasma_cell"
"aaaoekdp-1","Plasma_cell"
"aaaomcij-1","HSC"
"aaapghlf-1","Plasma_cell"
"aaapokoc-1","Neutrophil"
"aaappoml-1","Nonhaem"
"aabadfna-1","Erythroid"
"aabaenkp-1","Erythroid"
"aabalgka-1","Plasma_cell"
"aabbflpp-1","Plasma_cell"
"aabcploj-1","Neutrophil"
"aabdcnig-1","Plasma_cell"
"aabdeiah-1","Macrophage"
"aabdelfp-1","Erythroid"
"aabenlfi-1","Erythroid"
"aabipjaa-1","NK_cell"
"aabjknnk-1","Neutrophil"
"aablgagh-1","Neutrophil"
"aablhgde-1","Erythroid"
"aabllgfp-1","Plasma_cell"
"aabnmbgd-1","Plasma_cell"
"aabobchj-1","Neutrophil"
"aabpnfki-1","Plasma_cell"
"aabppibc-1","NK_cell"
"aacbclin-1","HSC"
"aacciflg-1","Plasma_cell"
"aaccmphb-1","B_progenitor"
"aacdbpge-1","Nonhaem"
"aacdcnfo-1","Plasma_cell"
"aacdoiod-1","BaEoMa"
"aacejijh-1","Plasma_cell"
"aacgejde-1","Macrophage"
"aacggamh-1","Granulocyte_monocyte_progenitor"
"aachcpmk-1","Neutrophil"
"aachpjjj-1","Granulocyte_monocyte_progenitor"
"aacjbapk-1","Plasma_cell"
"aackgdpe-1","Neutrophil"
"aackgobk-1","Neutrophil"
"aacmeoja-1","Nonhaem"
"aacmicoo-1","Erythroid"
"aacmlblm-1","Plasma_cell"
"aacniafg-1","Erythroid"
"aacnmeld-1","Erythroid"
"aacojnaf-1","Erythroid"
"aacoklpe-1","Erythroid"
"aacpdkjl-1","Erythroid"
"aacpdmmj-1","B_memory"
"aacpijia-1","Neutrophil"
"aacpjjoi-1","Neutrophil"
"aadadhko-1","HSC"
"aadagphb-1","B_progenitor"
"aadapaap-1","Macrophage"
"aadcbcdb-1","Erythroid"
"aadcgnpa-1","Erythroid"
"aadchadh-1","Erythroid"
"aaddpaaa-1","Macrophage"
"aadfenjb-1","Plasma_cell"
"aadhbjij-1","HSC"
"aadkbgkn-1","Erythroid"
"aadldone-1","Plasma_cell"
"aadlihnm-1","Erythroid"
"aadoejpf-1","Plasma_cell"
"aadokbhc-1","Plasma_cell"
"aadpahfl-1","Plasma_cell"
"aadpbphn-1","Plasma_cell"
"aaecbkcn-1","Erythroid"
"aaecmppc-1","Plasma_cell"
"aaecojhf-1","Nonhaem"
"aaedojnj-1","Erythroid"
"aaehigbi-1","Neutrophil"
"aaejddoi-1","Granulocyte_monocyte_progenitor"
"aaejfomd-1","Nonhaem"
"aaejnhil-1","Plasma_cell"
"aaekghek-1","Erythroid"
"aaelpkbd-1","Erythroid"
"aaenhgmg-1","Macrophage"
"aaeoonfi-1","Erythroid"
"aafbfpkg-1","Neutrophil"
"aafbkjhe-1","Granulocyte_monocyte_progenitor"
"aafcmnld-1","Erythroid"
"aafeebbi-1","Plasma_cell"
"aafgddjj-1","Plasma_cell"
"aafjpfhi-1","Plasma_cell"
"aafkffpm-1","Plasma_cell"
"aaflmmkf-1","Plasma_cell"
"aafnphnm-1","HSC"
"aafopnlm-1","Nonhaem"
"aagafafa-1","MonoCD16"
"aagamnjd-1","Plasma_cell"
"aagcific-1","Erythroid"
"aagdceec-1","Plasma_cell"
"aagebkpm-1","Erythroid"
"aagedfge-1","Plasma_cell"
"aagehiim-1","Plasma_cell"
"aagfaenp-1","Plasma_cell"
"aaggkcgi-1","MonoCD14"
"aaggmain-1","Neutrophil"
"aaggnena-1","HSC"
"aagkdbna-1","HSC"
"aagmklbl-1","Macrophage"
"aagnkkfi-1","Neutrophil"
"aagpgfbd-1","Plasma_cell"
"aagpimgi-1","B_memory"
"aahbnmnj-1","Erythroid"
"aahcddcp-1","Erythroid"
"aahddbne-1","CTL"
"aahegame-1","Neutrophil"
"aahfdhko-1","Plasma_cell"
"aahfofnn-1","Nonhaem"
"aahjbbea-1","HSC"
"aahjgbkj-1","NK_cell"
"aahkblie-1","MonoCD14"
"aahkdenj-1","Plasma_cell"
"aahkhbkh-1","Erythroid"
"aahklljo-1","Plasma_cell"
"aahmejhj-1","Plasma_cell"
"aahmepeh-1","Plasma_cell"
"aahmkmmj-1","Erythroid"
"aahnamdl-1","Erythroid"
"aahoaafd-1","Plasma_cell"
"aahpgnbp-1","Granulocyte_monocyte_progenitor"
"aaiaonkf-1","Plasma_cell"
"aaibnboh-1","Plasma_cell"
"aaicaklk-1","Erythroid"
"aaicbmhg-1","Plasma_cell"
"aaidbjac-1","Plasma_cell"
"aaiedkdb-1","HSC"
"aaigeboa-1","Plasma_cell"
"aaigecmp-1","HSC"
"aaihkkoi-1","Erythroid"
"aaihmhim-1","Plasma_cell"
"aaiicinn-1","Plasma_cell"
"aaiifame-1","Erythroid"
"aaijnjpl-1","Erythroid"
"aaikblbn-1","Plasma_cell"
"aaimhnni-1","Plasma_cell"
"aaimmgap-1","Plasma_cell"
"aaincmjc-1","Nonhaem"
"aainjfil-1","Plasma_cell"
"aainlhpf-1","Plasma_cell"
"aaioecel-1","Plasma_cell"
"aaipdjfb-1","Plasma_cell"
"aaipgmab-1","Plasma_cell"
"aajabbaa-1","Plasma_cell"
"aajaelgn-1","Erythroid"
"aajailpl-1","Plasma_cell"
"aajcpbah-1","Neutrophil"
"aajekepa-1","Plasma_cell"
"aajfnedl-1","Plasma_cell"
"aajfnjlp-1","Erythroid"
"aajhglmh-1","Plasma_cell"
"aajiabea-1","Macrophage"
"aajicloh-1","Plasma_cell"
"aajiembc-1","Plasma_cell"
"aajmkkac-1","Plasma_cell"
"aajnpkil-1","Neutrophil"
"aajpaeib-1","Plasma_cell"
"aajphmam-1","Platelet"
"aajpjhff-1","Plasma_cell"
"aajpongn-1","Plasma_cell"
"aakahnoc-1","Neutrophil"
"aakbgmmm-1","Erythroid"
"aakckfja-1","Plasma_cell"
"aakdjepo-1","Nonhaem"
"aakegbpm-1","Neutrophil"
"aakegiig-1","Plasma_cell"
"aakepkpm-1","Neutrophil"
"aakfbemd-1","Nonhaem"
"aakgdcgc-1","Plasma_cell"
"aakgnabj-1","Plasma_cell"
