"","celltype"
"aaacneai-1","Plasma_cell"
"aaadmonm-1","Plasma_cell"
"aaadphml-1","Plasma_cell"
"aaadppng-1","Plasma_cell"
"aaaejoak-1","CTL"
"aaafpbck-1","Plasma_cell"
"aaahlmpf-1","Plasma_cell"
"aaahobjm-1","Plasma_cell"
"aaaiahmk-1","Plasma_cell"
"aaajcaai-1","Plasma_cell"
"aaajibbo-1","Plasma_cell"
"aaakbhne-1","Plasma_cell"
"aaakkgff-1","Plasma_cell"
"aaangken-1","Plasma_cell"
"aaanmbhh-1","Plasma_cell"
"aabcakan-1","Plasma_cell"
"aabcipch-1","Plasma_cell"
"aabdbfmc-1","Plasma_cell"
"aabdiglk-1","Plasma_cell"
"aabgmejn-1","Plasma_cell"
"aabhgapj-1","Plasma_cell"
"aabhjlga-1","Plasma_cell"
"aabjciph-1","Plasma_cell"
"aabjhigl-1","NK_cell"
"aabkbjjj-1","Plasma_cell"
"aabkpogn-1","Plasma_cell"
"aablboep-1","Plasma_cell"
"aablcpbc-1","Plasma_cell"
"aablllio-1","Plasma_cell"
"aabmclid-1","Plasma_cell"
"aabpeenb-1","Plasma_cell"
"aabpkpge-1","Plasma_cell"
"aacbehba-1","Plasma_cell"
"aacbgdin-1","T_prolifer"
"aacbinha-1","Plasma_cell"
"aaceenla-1","Plasma_cell"
"aachioof-1","Plasma_cell"
"aachmhkm-1","Plasma_cell"
"aacijcdo-1","Plasma_cell"
"aacijfkd-1","Plasma_cell"
"aaclgcgm-1","Plasma_cell"
"aaclpmah-1","Plasma_cell"
"aacmaipp-1","Plasma_cell"
"aacmbnfd-1","Nonhaem"
"aacnceng-1","Plasma_cell"
"aacnolbe-1","Plasma_cell"
"aadcpcch-1","Plasma_cell"
"aadeikde-1","Plasma_cell"
"aadgfmpo-1","Plasma_cell"
"aadhceid-1","Plasma_cell"
"aadhdjkk-1","CD8_T_memory"
"aadhipen-1","Plasma_cell"
"aadhniko-1","Plasma_cell"
"aadjadkf-1","Plasma_cell"
"aadkaola-1","Plasma_cell"
"aadkbbbl-1","Plasma_cell"
"aadlbgeo-1","Plasma_cell"
"aadlgcnf-1","Plasma_cell"
"aadlknon-1","Plasma_cell"
"aadmobbl-1","Plasma_cell"
"aadnhcep-1","Plasma_cell"
"aadoeopd-1","Plasma_cell"
"aadofmmk-1","Plasma_cell"
"aadoplfl-1","Plasma_cell"
"aadpnkki-1","Plasma_cell"
"aaebmcmg-1","Macrophage"
"aaecagem-1","Plasma_cell"
"aaecfiml-1","Plasma_cell"
"aaecgiik-1","Plasma_cell"
"aaedmdfm-1","MonoCD14"
"aaeecmgo-1","Plasma_cell"
"aaeemnnf-1","Plasma_cell"
"aaehlfbg-1","Plasma_cell"
"aaekdnib-1","Plasma_cell"
"aaelfckf-1","Plasma_cell"
"aaelpkjn-1","Plasma_cell"
"aaemkkgh-1","Plasma_cell"
"aaemmikl-1","Plasma_cell"
"aaenfbno-1","Plasma_cell"
