"","celltype"
"aaaacjod-1","Erythroid"
"aaaidhml-1","HSC"
"aaajaoch-1","Erythroid"
"aaajmhbd-1","Erythroid"
"aaakfehp-1","Erythroid"
"aaakplgd-1","HSC"
"aaallemk-1","Plasma_cell"
"aaambdea-1","Neutrophil"
"aaamnpjp-1","Erythroid"
"aabaknfm-1","Nonhaem"
"aabbnmik-1","HSC"
"aabcmkek-1","HSC"
"aabigene-1","MonoCD14"
"aablpfog-1","Erythroid"
"aabnhfgd-1","Erythroid"
"aabpmgod-1","Erythroid"
"aacahdpi-1","Granulocyte_monocyte_progenitor"
"aacddopn-1","Plasma_cell"
"aacfekmd-1","Erythroid"
"aachgkpi-1","Erythroid"
"aacjfejn-1","Nonhaem"
"aaclnghe-1","Erythroid"
"aacndpfb-1","Neutrophil"
"aacocamp-1","Erythroid"
"aacopmml-1","HSC"
"aacpokoi-1","Granulocyte_monocyte_progenitor"
"aaddhjgf-1","Erythroid"
"aadfhdgf-1","Erythroid"
"aadgimfk-1","Neutrophil"
"aadgklih-1","MonoCD14"
"aadnbaip-1","Erythroid"
"aadppiib-1","BaEoMa"
"aaeblgaj-1","HSC"
"aaecddnd-1","Erythroid"
"aaecndmb-1","Erythroid"
"aaeeakmb-1","Erythroid"
"aaeghfmk-1","HSC"
"aaeipmif-1","Plasma_cell"
"aaemaljj-1","Erythroid"
"aaencpim-1","Erythroid"
"aaenfmpj-1","Erythroid"
"aaenpmac-1","MonoCD14"
"aafihjmk-1","Nonhaem"
"aafkfhoa-1","Erythroid"
"aaflmbcg-1","Erythroid"
"aagbmmlc-1","MonoCD16"
"aagcemag-1","NK_cell"
"aagfanpa-1","Erythroid"
"aagjdfpe-1","Erythroid"
"aaglphpk-1","Erythroid"
"aaglpimc-1","Erythroid"
"aagmchcm-1","HSC"
"aagpolib-1","Erythroid"
"aahbcpdg-1","Erythroid"
"aahceloc-1","Macrophage"
"aahfponk-1","Erythroid"
"aahhngfc-1","BaEoMa"
"aaholbco-1","B_memory"
"aahpijpd-1","NK_cell"
"aaidhbbj-1","Nonhaem"
"aaihencb-1","MonoCD14"
"aaihhegn-1","Neutrophil"
"aaihkccc-1","MonoCD16"
"aaimbemd-1","MonoCD14"
"aaiohkkj-1","pDC"
"aaipfpkn-1","pDC"
"aajaofgg-1","MonoCD14"
"aajdkggb-1","Plasma_cell"
"aajiklnj-1","Neutrophil"
"aajjpjkf-1","Macrophage"
"aajpiljd-1","Nonhaem"
"aakaklej-1","Nonhaem"
"aakdfaoe-1","Erythroid"
"aakenbjp-1","Granulocyte_monocyte_progenitor"
"aakhpmbn-1","MonoCD14"
"aakkcclk-1","Plasma_cell"
"aakkebib-1","Plasma_cell"
"aakkjddk-1","CD4_T_memory"
"aakoceai-1","CD4_T_naive"
"aalbdpdj-1","Nonhaem"
"aaljbhfi-1","Nonhaem"
"aaloegia-1","CD4_T_naive"
"aambllfh-1","pDC"
"aamegnmj-1","Macrophage"
"aamokbjb-1","Erythroid"
"aanblaoh-1","MonoCD14"
"aanfcjcl-1","Erythroid"
"aanfmbfo-1","CTL"
"aanlppjk-1","B_naive"
"aanmliog-1","Erythroid"
"aanmngnk-1","NK_cell"
"aaojpabe-1","MonoCD14"
"aaolaiol-1","Neutrophil"
"aaollalm-1","MonoCD14"
"aaolpmfk-1","Neutrophil"
"aaongmgd-1","HSC"
"aaoobljn-1","MonoCD14"
"aaoomadj-1","Macrophage"
"aaooneoi-1","Erythroid"
"aaopobfg-1","Neutrophil"
"aapbfljl-1","pDC"
"aapcioho-1","Macrophage"
"aapenknb-1","Plasma_cell"
"aapgegnm-1","Erythroid"
"aapghgmd-1","Erythroid"
"aapghlkb-1","Erythroid"
"aapoihea-1","HSC"
"ababcico-1","CD8_T_memory"
"ababfnff-1","HSC"
"abadfdjc-1","B_progenitor"
"abahafec-1","Erythroid"
"abbcnkcm-1","HSC"
"abbdocab-1","HSC"
"abbgjchb-1","HSC"
"abbgphfi-1","Plasma_cell"
"abbhpnpe-1","MonoCD14"
"abbjbeac-1","Granulocyte_monocyte_progenitor"
"abbjbjhn-1","Erythroid"
"abbkiakh-1","HSC"
"abcbjcdm-1","Neutrophil"
"abcfhlfp-1","Macrophage"
"abcinnph-1","MonoCD14"
"abcmcdeg-1","CD8_T_memory"
"abdbjoff-1","Granulocyte_monocyte_progenitor"
"abdfblak-1","MonoCD14"
"abdfhlfd-1","Macrophage"
"abdfjdcp-1","Neutrophil"
"abdgclco-1","MonoCD14"
"abdmfbki-1","Nonhaem"
"abdnebdg-1","Neutrophil"
"abdojjpf-1","Nonhaem"
"abejlokk-1","Erythroid"
"abelkkip-1","Nonhaem"
"abepeahi-1","Neutrophil"
"abfaldio-1","Granulocyte_monocyte_progenitor"
"abfbfnbf-1","B_memory"
"abfcfobl-1","Neutrophil"
"abfeecfd-1","Erythroid"
"abffapep-1","Erythroid"
"abfhdfpl-1","Granulocyte_monocyte_progenitor"
"abfiaikm-1","Nonhaem"
"abfiknep-1","HSC"
"abgadcaj-1","MonoCD14"
"abgaegpc-1","Neutrophil"
"abgeagje-1","HSC"
"abghjhej-1","Neutrophil"
"abgkkdmm-1","HSC"
"abgpdopk-1","NK_cell"
"abhcdchg-1","MonoCD14"
"abhehggn-1","Granulocyte_monocyte_progenitor"
"abhgknnb-1","Erythroid"
"abhifkmd-1","Erythroid"
"abhjmndn-1","Erythroid"
"abhmhaid-1","MonoCD14"
"abhpdacn-1","Nonhaem"
"abhphjfd-1","Erythroid"
"abiajjib-1","Erythroid"
"abicjlmp-1","Neutrophil"
"abiemiag-1","HSC"
"abifnafh-1","HSC"
"abihglgh-1","Granulocyte_monocyte_progenitor"
"abihnkkj-1","Plasma_cell"
"abiiofch-1","Plasma_cell"
"abijbpkc-1","Granulocyte_monocyte_progenitor"
"abjbehjc-1","Plasma_cell"
"abjimgdo-1","Plasma_cell"
"abjlpgma-1","MonoCD14"
"abjnmgmj-1","Granulocyte_monocyte_progenitor"
"abjpbkhm-1","Nonhaem"
"abjpcoca-1","Macrophage"
"abkfjbha-1","Macrophage"
"abkgjjkc-1","CD4_T_memory"
"abkhjjkh-1","Nonhaem"
"abkkdmgf-1","CD4_T_naive"
"abklalep-1","CD4_T_naive"
"abknpbgc-1","pDC"
"ablbhaml-1","CD4_T_naive"
"ablbleik-1","Nonhaem"
"ablcadgi-1","Nonhaem"
"ablcjlai-1","Nonhaem"
"ablknkhp-1","Macrophage"
"ablmpcja-1","HSC"
"ablpkfkm-1","Plasma_cell"
"abmodhii-1","Erythroid"
"abnbhnnp-1","Nonhaem"
"abngbeib-1","HSC"
"abnjdicj-1","Erythroid"
"abnljhic-1","HSC"
"abnmhidj-1","Erythroid"
"abnponmo-1","Erythroid"
"abobcfbb-1","Macrophage"
"aboibpaj-1","T_prolifer"
"abokegen-1","Erythroid"
"abpbnifn-1","MonoCD14"
"abpddibf-1","Erythroid"
"abpfdjmd-1","Erythroid"
"abphdjih-1","Erythroid"
"abpjlbjd-1","Erythroid"
"abpmmeod-1","Erythroid"
"abpnjimj-1","Neutrophil"
"acabbgbf-1","CTL"
"acadpnhm-1","CD8_T_naive"
"acaflnln-1","Erythroid"
"acaghjfo-1","Erythroid"
"acanigba-1","Neutrophil"
"acapbmmh-1","Nonhaem"
"acapbnih-1","Erythroid"
"acbbjeej-1","Erythroid"
"acbdogin-1","Erythroid"
"acbgfmeh-1","Erythroid"
"acbiflaa-1","Erythroid"
"acbkdmac-1","Nonhaem"
"acbmcegi-1","MonoCD14"
"acbmcnkc-1","Erythroid"
"accadome-1","Erythroid"
"accccfbb-1","Erythroid"
"accdncmb-1","pDC"
"acceagoj-1","Erythroid"
"accfjbpp-1","Plasma_cell"
"accggffh-1","Erythroid"
"accgldgi-1","Erythroid"
"accjbidp-1","Nonhaem"
"acckofoo-1","Erythroid"
"accnglin-1","Erythroid"
"accpdmok-1","MonoCD14"
"acdhihpf-1","MonoCD14"
"acdpadfd-1","Plasma_cell"
"aceaehcm-1","CD8_T_naive"
"acecagjn-1","Nonhaem"
