"","celltype"
"aaaaakmf-1","B_memory"
"aaaaoadf-1","Macrophage"
"aaabbgea-1","Plasma_cell"
"aaabkbkf-1","Nonhaem"
"aaacbelc-1","Plasma_cell"
"aaacchdc-1","Plasma_cell"
"aaacgjbb-1","Plasma_cell"
"aaacnham-1","Plasma_cell"
"aaaehfil-1","Plasma_cell"
"aaaehjjn-1","Plasma_cell"
"aaaelpkn-1","Plasma_cell"
"aaaenabh-1","Nonhaem"
"aaafdcjn-1","Plasma_cell"
"aaafhjkp-1","B_memory"
"aaagdbcp-1","Plasma_cell"
"aaagoepe-1","Plasma_cell"
"aaahhchi-1","Plasma_cell"
"aaaiidjc-1","Plasma_cell"
"aaaiinfd-1","Plasma_cell"
"aaajjmhm-1","Plasma_cell"
"aaajoafm-1","Plasma_cell"
"aaalnbag-1","Macrophage"
"aaamapdk-1","Plasma_cell"
"aaamhjon-1","Plasma_cell"
"aaamoneb-1","Plasma_cell"
"aaanacpn-1","Plasma_cell"
"aaandbha-1","Plasma_cell"
"aaanodmi-1","Plasma_cell"
"aaaodold-1","Plasma_cell"
"aaaogkcd-1","Plasma_cell"
"aaapdndi-1","Plasma_cell"
"aaapmkhd-1","Plasma_cell"
"aababkno-1","Plasma_cell"
"aabaejgb-1","Plasma_cell"
"aabapdlb-1","Plasma_cell"
"aabbkoec-1","Nonhaem"
"aabcacdn-1","Plasma_cell"
"aabdigjo-1","MonoCD16"
"aabdmgoo-1","Plasma_cell"
"aabeccda-1","Plasma_cell"
"aabembhi-1","Plasma_cell"
"aabfcagb-1","Neutrophil"
"aabfjhgg-1","Plasma_cell"
"aabfjhhi-1","Nonhaem"
"aabgocdp-1","Nonhaem"
"aabhelfn-1","Plasma_cell"
"aabibpdm-1","Plasma_cell"
"aabifgcm-1","Plasma_cell"
"aabiiaie-1","Plasma_cell"
"aabipjdd-1","Plasma_cell"
"aabjgbbg-1","Plasma_cell"
"aabjifje-1","Plasma_cell"
"aabjkllh-1","Plasma_cell"
"aabkembl-1","Plasma_cell"
"aabkfcdp-1","Plasma_cell"
"aabljdap-1","Plasma_cell"
"aablnpch-1","Nonhaem"
"aabmfeoc-1","B_memory"
"aabmphdn-1","B_memory"
"aabofimb-1","Plasma_cell"
"aabojmak-1","Plasma_cell"
"aabomlmd-1","Plasma_cell"
"aabplcip-1","Plasma_cell"
"aabplfgf-1","Plasma_cell"
"aacapobf-1","Plasma_cell"
"aacbagoe-1","Plasma_cell"
"aacbcodc-1","Plasma_cell"
"aaccehjk-1","Nonhaem"
"aaccnnnl-1","Plasma_cell"
