"","celltype"
"aaaaalhd-1","MonoCD14"
"aaabikcd-1","Granulocyte_monocyte_progenitor"
"aaacddfm-1","Erythroid"
"aaacgcka-1","HSC"
"aaadohca-1","HSC"
"aaaeboff-1","Erythroid"
"aaafbmgd-1","Plasma_cell"
"aaafmjpe-1","Neutrophil"
"aaagfoed-1","MonoCD14"
"aaaifpie-1","Neutrophil"
"aaakkibd-1","HSC"
"aaakpjbi-1","HSC"
"aaalbofk-1","HSC"
"aaaldipe-1","CD8_T_memory"
"aaamdkcn-1","Erythroid"
"aaancbcm-1","Neutrophil"
"aaankhpl-1","Erythroid"
"aaappcop-1","CTL"
"aabaegll-1","Erythroid"
"aabakddc-1","Neutrophil"
"aabanlnc-1","MonoCD14"
"aabblcjb-1","Neutrophil"
"aabcecdf-1","B_memory"
"aabclpkg-1","HSC"
"aabemcnf-1","Macrophage"
"aabgbaoh-1","CTL"
"aabihbcc-1","Erythroid"
"aabmdlla-1","Nonhaem"
"aabnfnln-1","Erythroid"
"aabnjomh-1","Erythroid"
"aabokkfl-1","Erythroid"
"aabpljbd-1","Erythroid"
"aacbeimp-1","BaEoMa"
"aaccobig-1","Erythroid"
"aaceddji-1","Erythroid"
"aacfahdd-1","Erythroid"
"aacfoamc-1","Erythroid"
"aacgdmck-1","Erythroid"
"aacioaho-1","CTL"
"aacipdgh-1","CTL"
"aacjgjnp-1","NK_cell"
"aacmckpm-1","Plasma_cell"
"aacmibgl-1","Erythroid"
"aacmjefi-1","Nonhaem"
"aacnijhk-1","pDC"
"aadcachn-1","Erythroid"
"aaddpohd-1","Nonhaem"
"aadfnnfo-1","Erythroid"
"aadgomph-1","CD4_T_naive"
"aadhbljl-1","MonoCD14"
"aadiojgb-1","Erythroid"
"aadjifge-1","Erythroid"
"aadklban-1","Macrophage"
"aadldlpm-1","Granulocyte_monocyte_progenitor"
"aadmnklk-1","Plasma_cell"
"aadmoghg-1","MonoCD14"
"aadoieji-1","Erythroid"
"aadplnpn-1","Nonhaem"
"aaeapcio-1","Erythroid"
"aaebjfaa-1","Neutrophil"
"aaecdchn-1","Erythroid"
"aaecebdl-1","Nonhaem"
"aaedolem-1","Erythroid"
"aaeeeolj-1","Neutrophil"
"aaeejiia-1","Erythroid"
"aaeflbfh-1","Neutrophil"
"aaeilcah-1","pDC"
"aaeiodjd-1","Erythroid"
"aaejleag-1","Neutrophil"
"aaejodaa-1","Nonhaem"
"aaekmabf-1","Plasma_cell"
"aaelffid-1","Erythroid"
"aaembbln-1","Nonhaem"
"aaennnld-1","HSC"
"aaepdbbi-1","Nonhaem"
"aafbkppk-1","Neutrophil"
"aafcfmjj-1","Granulocyte_monocyte_progenitor"
"aafchinm-1","Neutrophil"
"aafdiobj-1","Macrophage"
"aafeiddm-1","Nonhaem"
"aafelcfa-1","HSC"
"aafemfpk-1","HSC"
"aaffioee-1","HSC"
"aafgikmg-1","Erythroid"
