"","celltype"
"aaaajndm-1","Plasma_cell"
"aaadafhl-1","Macrophage"
"aaadagdc-1","Erythroid"
"aaajpppi-1","Plasma_cell"
"aaalbjgk-1","Plasma_cell"
"aaamcppg-1","Plasma_cell"
"aabbckmd-1","MonoCD16"
"aabekbig-1","Plasma_cell"
"aabgoone-1","Erythroid"
"aabkndni-1","Plasma_cell"
"aablhofj-1","HSC"
"aabnaane-1","Plasma_cell"
"aabpnfke-1","Plasma_cell"
"aabppona-1","Plasma_cell"
"aacafghd-1","Plasma_cell"
"aacaomeo-1","T_prolifer"
"aacjianm-1","Nonhaem"
"aadaahon-1","Plasma_cell"
"aadanjhh-1","Plasma_cell"
"aadapbno-1","Plasma_cell"
"aadfjmio-1","Plasma_cell"
"aadjcngg-1","B_progenitor"
"aadlmdcc-1","B_memory"
"aadmhedo-1","Plasma_cell"
"aaebhlja-1","Macrophage"
"aaebhmaj-1","Plasma_cell"
"aaebmpll-1","Plasma_cell"
"aaecdpck-1","Plasma_cell"
"aaejpigi-1","CD4_T_memory"
"aaekfpfg-1","Erythroid"
"aaelmmca-1","T_prolifer"
"aaemjffl-1","Plasma_cell"
"aafebkbj-1","Erythroid"
"aafmpele-1","Plasma_cell"
"aafmpfhh-1","Nonhaem"
"aafnaega-1","Plasma_cell"
"aagnajpf-1","Plasma_cell"
"aagnlocj-1","Plasma_cell"
"aahmiadj-1","Erythroid"
"aaibghbk-1","Plasma_cell"
"aajchjjl-1","Plasma_cell"
"aakjekjf-1","Erythroid"
"aalkcnje-1","Plasma_cell"
"aalkkifm-1","Plasma_cell"
"aallpedb-1","Plasma_cell"
"aalmoinb-1","Plasma_cell"
"aalnbgfc-1","Plasma_cell"
"aalokgba-1","Plasma_cell"
"aalpbjfj-1","Granulocyte_monocyte_progenitor"
"aalpfbej-1","Plasma_cell"
"aalpjhdi-1","Plasma_cell"
"aamaalhm-1","Plasma_cell"
"aamahcaj-1","Plasma_cell"
"aamaognm-1","Plasma_cell"
"aamaplmn-1","Plasma_cell"
"aamcnega-1","Plasma_cell"
"aamdfdol-1","Plasma_cell"
"aamdpmni-1","Plasma_cell"
"aameclcb-1","Plasma_cell"
"aamelndo-1","Plasma_cell"
"aamfflbl-1","Plasma_cell"
"aamgafne-1","Plasma_cell"
"aamhkcgj-1","MonoCD16"
"aamiikah-1","Plasma_cell"
"aamilbjc-1","Plasma_cell"
"aamjcpcj-1","Plasma_cell"
"aamkfoop-1","Plasma_cell"
"aamkpgen-1","Plasma_cell"
"aamlmjin-1","Plasma_cell"
"aammlkod-1","Plasma_cell"
"aammmbgl-1","Plasma_cell"
"aamnkhpe-1","Macrophage"
"aamogici-1","Plasma_cell"
"aamonoom-1","Plasma_cell"
"aampbabh-1","Plasma_cell"
"aamppieg-1","Plasma_cell"
"aanamfcb-1","Plasma_cell"
"aanbafeh-1","Plasma_cell"
"aanbfjei-1","Plasma_cell"
"aancclhl-1","Plasma_cell"
"aanchifa-1","Plasma_cell"
"aancjnoh-1","Nonhaem"
"aanddhkk-1","Nonhaem"
"aandkomm-1","Nonhaem"
"aaneffjl-1","Nonhaem"
"aanemgbe-1","Macrophage"
"aangnkai-1","Plasma_cell"
"aanldple-1","Plasma_cell"
"aanliibn-1","Plasma_cell"
"aanljcbj-1","Plasma_cell"
"aanmdiai-1","Plasma_cell"
"aannncmi-1","Granulocyte_monocyte_progenitor"
"aanokdhc-1","Plasma_cell"
"aanpnafb-1","Plasma_cell"
"aaoakedc-1","Plasma_cell"
"aaoaobko-1","Plasma_cell"
"aaocoded-1","Plasma_cell"
"aaodhmmn-1","Plasma_cell"
"aaoehjae-1","Plasma_cell"
"aaogbphj-1","Plasma_cell"
"aaoldcip-1","Nonhaem"
"aaomjhkg-1","Plasma_cell"
"aaoofobf-1","Plasma_cell"
"aapdllgl-1","Plasma_cell"
"aapedjjd-1","Plasma_cell"
"aapfbolj-1","Nonhaem"
"aaphilln-1","Plasma_cell"
"aapikdcg-1","Plasma_cell"
"aapikpmm-1","Plasma_cell"
"aapkljph-1","Plasma_cell"
"aaplmoii-1","Plasma_cell"
"aapooeeh-1","Plasma_cell"
"aapopgem-1","T_prolifer"
"aapopibc-1","Plasma_cell"
"aappjaoh-1","Plasma_cell"
"abaaemel-1","pDC"
"ababdfkn-1","pDC"
"ababedjh-1","Plasma_cell"
"ababienk-1","Plasma_cell"
"abacejlc-1","Plasma_cell"
"abadjbfm-1","Plasma_cell"
"abadkoid-1","Plasma_cell"
"abaenbnk-1","Plasma_cell"
"abafemon-1","Plasma_cell"
"abaglnpk-1","Macrophage"
"abagnebh-1","Plasma_cell"
"abaignij-1","Plasma_cell"
"abalbhjm-1","Plasma_cell"
"abaldgec-1","Plasma_cell"
"abamkngb-1","Plasma_cell"
"abaoimhd-1","Plasma_cell"
"abaopofh-1","Plasma_cell"
"abapbded-1","Plasma_cell"
"abapbmho-1","Plasma_cell"
"abapelmk-1","Plasma_cell"
"abbcjbkm-1","Plasma_cell"
"abbdgnfk-1","Plasma_cell"
"abbdheop-1","Plasma_cell"
"abbeknll-1","Plasma_cell"
"abbeopbb-1","Plasma_cell"
"abbfbchi-1","Plasma_cell"
"abbfhafd-1","Plasma_cell"
"abbfjbim-1","Plasma_cell"
"abbgjiid-1","Plasma_cell"
"abbjcpee-1","pDC"
"abbngkbl-1","Plasma_cell"
"abcaoncm-1","Plasma_cell"
"abcedkof-1","Plasma_cell"
"abdajieb-1","Plasma_cell"
"abddpcab-1","HSC"
"abdhednh-1","Erythroid"
"abdhjooe-1","Plasma_cell"
"abeakkjl-1","Macrophage"
"abeboojb-1","Plasma_cell"
"abedfbbk-1","Macrophage"
"abefhgda-1","Erythroid"
"abegofjp-1","Plasma_cell"
"abehajhg-1","Plasma_cell"
"abehfllp-1","Plasma_cell"
"abeiilpj-1","Plasma_cell"
"abejamfn-1","Plasma_cell"
"abejfoik-1","Plasma_cell"
"abejgkhk-1","Plasma_cell"
"abejjbpn-1","Plasma_cell"
"abekdpbb-1","Plasma_cell"
"abekhkap-1","Plasma_cell"
"abekphcf-1","Plasma_cell"
"abelaoho-1","Plasma_cell"
"abelecbc-1","Plasma_cell"
"abelkjod-1","Plasma_cell"
"abenlpei-1","Plasma_cell"
"abeokflo-1","Nonhaem"
"abfcedep-1","Plasma_cell"
"abfcfmba-1","Plasma_cell"
"abfeccdg-1","Plasma_cell"
"abffcehk-1","Plasma_cell"
"abffjeip-1","Plasma_cell"
"abfhfjmn-1","Plasma_cell"
"abfhmkmh-1","Plasma_cell"
"abfibigo-1","Plasma_cell"
"abfinaah-1","Plasma_cell"
"abfjnble-1","Plasma_cell"
"abfkical-1","Plasma_cell"
"abfmeicc-1","Plasma_cell"
"abfnafpb-1","Plasma_cell"
"abfopikh-1","Nonhaem"
"abfpiljb-1","Nonhaem"
"abfpkggb-1","Plasma_cell"
"abgadkaa-1","Plasma_cell"
"abgaehpc-1","Plasma_cell"
"abgajocn-1","Plasma_cell"
"abgbdefk-1","Plasma_cell"
"abgbplod-1","Plasma_cell"
"abgfgdna-1","Plasma_cell"
"abgfmnch-1","Plasma_cell"
"abgfpapn-1","Plasma_cell"
"abggjedd-1","Plasma_cell"
"abghacbk-1","Plasma_cell"
"abghoimm-1","Plasma_cell"
"abgiehfa-1","Macrophage"
"abgigmpj-1","Plasma_cell"
"abgilgoi-1","Plasma_cell"
"abgjajom-1","Plasma_cell"
"abgjickd-1","Plasma_cell"
"abgjnpdk-1","Nonhaem"
"abgjpkhl-1","Plasma_cell"
"abgkjbmn-1","Plasma_cell"
"abgldekl-1","Plasma_cell"
"abgllfog-1","Plasma_cell"
"abgmhkmk-1","Plasma_cell"
"abgmkapm-1","Plasma_cell"
"abgodfek-1","Plasma_cell"
"abgpnagb-1","Plasma_cell"
"abhbjklj-1","Plasma_cell"
"abhdmlna-1","Plasma_cell"
"abhdpaep-1","Nonhaem"
"abhfhgjn-1","Macrophage"
"abhgdhml-1","Plasma_cell"
"abhgpifi-1","Plasma_cell"
"abhhbioc-1","Plasma_cell"
"abhhmpgp-1","Plasma_cell"
"abhiihhd-1","Plasma_cell"
"abhipnei-1","Plasma_cell"
"abhkidie-1","Plasma_cell"
"abhkofib-1","Plasma_cell"
"abhlbcno-1","Plasma_cell"
"abhmbnaa-1","Plasma_cell"
"abiechaj-1","Erythroid"
"abikaakg-1","Erythroid"
"abiklcbc-1","Erythroid"
"ablcdgio-1","Macrophage"
"abnfkpch-1","Plasma_cell"
"abohhgil-1","Plasma_cell"
"abpigokk-1","T_prolifer"
"abppbboi-1","Platelet"
"acehbnie-1","Macrophage"
"acehomeb-1","Erythroid"
"aceienld-1","Plasma_cell"
"aceifmik-1","Plasma_cell"
"acingmdm-1","Plasma_cell"
"acjadcja-1","Plasma_cell"
"acjapmfp-1","Macrophage"
"acjcajih-1","Plasma_cell"
"acjcfepa-1","Plasma_cell"
"acjdihgi-1","Plasma_cell"
"acjdofjd-1","Plasma_cell"
"acjfookl-1","Plasma_cell"
"acjgedeo-1","Plasma_cell"
"acjgimeh-1","Plasma_cell"
"acjhdldm-1","MonoCD16"
"acjhfaoe-1","Plasma_cell"
"acjjccee-1","Plasma_cell"
"acjjdhfm-1","Plasma_cell"
"acjkjeib-1","Plasma_cell"
"acjkloka-1","Nonhaem"
"acjlfklk-1","pDC"
"acjlpdgo-1","Plasma_cell"
"acjmgehj-1","Plasma_cell"
"acjndnha-1","NK_cell"
"acjnljoo-1","Plasma_cell"
"acjoabih-1","Plasma_cell"
"acjomfmc-1","Plasma_cell"
"ackammei-1","Plasma_cell"
"ackbhhao-1","Plasma_cell"
"ackcpodf-1","Plasma_cell"
"ackdblgn-1","Plasma_cell"
"ackddpbg-1","Plasma_cell"
"ackeikim-1","Plasma_cell"
"ackejbbb-1","Nonhaem"
"ackeoefj-1","Plasma_cell"
"ackhbdon-1","Plasma_cell"
"ackhdnjc-1","Plasma_cell"
"ackhmahp-1","Plasma_cell"
"ackhodnp-1","Plasma_cell"
"ackiaodo-1","Plasma_cell"
"ackidmjd-1","Plasma_cell"
"ackijiig-1","Plasma_cell"
"ackjhmii-1","Plasma_cell"
"ackkfika-1","Plasma_cell"
"acklfjka-1","Plasma_cell"
"ackncbae-1","Plasma_cell"
"acknokcn-1","Plasma_cell"
"ackoleaj-1","Plasma_cell"
"ackpfjnd-1","Plasma_cell"
"aclabofo-1","Plasma_cell"
"aclaeckp-1","pDC"
"aclcjkfm-1","Plasma_cell"
"aclclbbe-1","Plasma_cell"
"aclfeojl-1","Plasma_cell"
"aclfhlmf-1","Plasma_cell"
"aclfliek-1","Plasma_cell"
"aclflpkf-1","Plasma_cell"
"aclgjneh-1","B_memory"
"aclgkehl-1","Nonhaem"
"aclhkddg-1","Plasma_cell"
"acljbdfe-1","Plasma_cell"
"aclkagal-1","Plasma_cell"
"aclkdkjp-1","Plasma_cell"
"acllcbpl-1","Plasma_cell"
"acllidfa-1","Plasma_cell"
"aclmphcb-1","Plasma_cell"
"aclnfjbc-1","Plasma_cell"
"acloaakl-1","Plasma_cell"
"acloblgi-1","Plasma_cell"
"acmbjdec-1","Plasma_cell"
"acmblaok-1","Plasma_cell"
"acmcdjmm-1","Plasma_cell"
"acmcfcph-1","Plasma_cell"
"acmdajnc-1","Plasma_cell"
"acmdenpi-1","Plasma_cell"
"acmdkkom-1","Plasma_cell"
"acmeineo-1","Plasma_cell"
"acmencag-1","Plasma_cell"
"acmfilja-1","Macrophage"
"acmhigba-1","Plasma_cell"
"acmhikii-1","Plasma_cell"
"acmhkfne-1","Plasma_cell"
"acmjmgni-1","Plasma_cell"
"acmjmkdl-1","Plasma_cell"
"acmkpeea-1","Plasma_cell"
"acmlcgeh-1","Plasma_cell"
"acnafbgp-1","Plasma_cell"
"acnccdbk-1","Plasma_cell"
"acncfbnf-1","Plasma_cell"
"acncfjal-1","Plasma_cell"
"acncfodc-1","Plasma_cell"
"acndheol-1","Plasma_cell"
"acnehbgl-1","Plasma_cell"
"acneidoi-1","Plasma_cell"
"acnfhdga-1","Plasma_cell"
"acnmpcop-1","Macrophage"
"acofncnl-1","Plasma_cell"
"acpeebag-1","Plasma_cell"
"acpeekim-1","Plasma_cell"
"acpfolid-1","Plasma_cell"
"acpgnfpf-1","Plasma_cell"
"acpkajnl-1","Plasma_cell"
"acpkanbk-1","Plasma_cell"
"acpkkaep-1","Plasma_cell"
"acpknkch-1","Plasma_cell"
"acpokkea-1","Nonhaem"
"acponpdg-1","Plasma_cell"
"acppmhim-1","Plasma_cell"
"adabjpca-1","Plasma_cell"
"adablddl-1","Plasma_cell"
"adadacpm-1","Nonhaem"
"adagodcc-1","Plasma_cell"
"adahicjb-1","Plasma_cell"
"adaipaah-1","Plasma_cell"
"adajelgd-1","Plasma_cell"
"adakggdo-1","Plasma_cell"
"adakipcp-1","Plasma_cell"
"adaklaji-1","Plasma_cell"
"adakpmdd-1","Plasma_cell"
"adbdjall-1","Plasma_cell"
"adbegjba-1","Plasma_cell"
"adbfphch-1","Plasma_cell"
"adbibeda-1","Plasma_cell"
"adbicimj-1","Plasma_cell"
