"","celltype"
"aaaamoik-1","Nonhaem"
"aaafpaff-1","Erythroid"
"aaahaoag-1","Neutrophil"
"aaakedmm-1","HSC"
"aaallgij-1","Erythroid"
"aaamlcff-1","Erythroid"
"aaandbln-1","NK_cell"
"aaaniflb-1","HSC"
"aaanjndl-1","NK_cell"
"aaaojjho-1","Erythroid"
"aabacbje-1","Erythroid"
"aabckcmo-1","Erythroid"
"aabdopkm-1","Erythroid"
"aabekmmn-1","Erythroid"
"aabepnim-1","Erythroid"
"aabibami-1","Erythroid"
"aabkeghd-1","Erythroid"
"aabllgnn-1","Neutrophil"
"aabmnkom-1","Nonhaem"
"aabpefnp-1","Erythroid"
"aacdkmlj-1","Erythroid"
"aacdlfco-1","Erythroid"
"aacfbbfl-1","Neutrophil"
"aacgllfc-1","Erythroid"
"aacndkfj-1","Macrophage"
"aacolagn-1","HSC"
"aadbccfm-1","HSC"
"aadbkgde-1","HSC"
"aadblofo-1","Plasma_cell"
"aadcjbgh-1","Nonhaem"
"aadeianp-1","Plasma_cell"
"aadflehl-1","HSC"
"aadhebdc-1","Plasma_cell"
"aadoaeen-1","Plasma_cell"
"aadpidap-1","Plasma_cell"
"aaeadfie-1","Plasma_cell"
"aaeckmde-1","Erythroid"
"aaffnfip-1","Neutrophil"
"aafkpgkh-1","Erythroid"
"aafligcl-1","Nonhaem"
"aafofdhm-1","Erythroid"
"aafokpfb-1","Nonhaem"
"aagcnbfc-1","Platelet"
"aagfihab-1","Neutrophil"
"aaghjfcp-1","MonoCD14"
"aagkbnlk-1","Erythroid"
"aaglaioi-1","Erythroid"
"aagldjic-1","Erythroid"
"aahaiepf-1","Erythroid"
"aahainnp-1","Erythroid"
"aahbipkb-1","Nonhaem"
"aahbobpp-1","Erythroid"
"aahcjikh-1","Neutrophil"
"aahclaid-1","Erythroid"
"aahdgmam-1","Nonhaem"
"aahieejn-1","HSC"
"aahjpjkn-1","Erythroid"
"aahlompc-1","B_memory"
"aahmnlnj-1","HSC"
"aaholikh-1","Nonhaem"
"aahphfpl-1","Nonhaem"
"aaibilmm-1","Erythroid"
"aaifcdhe-1","pDC"
"aaigkifh-1","Erythroid"
"aaigofgm-1","Erythroid"
"aaihaaga-1","Erythroid"
"aaimhopl-1","Erythroid"
"aaioimbn-1","Neutrophil"
"aaiopbdo-1","MonoCD14"
"aaipbjcc-1","MonoCD14"
"aajajkhb-1","MonoCD14"
"aajcmjao-1","NK_cell"
"aajhgcje-1","Nonhaem"
"aajkbhod-1","Erythroid"
"aajkfbil-1","Nonhaem"
"aajnikgg-1","CD4_T_naive"
"aajpfooj-1","Erythroid"
"aakaabkb-1","Neutrophil"
"aakbhcnj-1","B_memory"
"aakceihm-1","Erythroid"
"aakelnpp-1","Erythroid"
"aakhfgge-1","Nonhaem"
"aakhiadj-1","Erythroid"
"aakoapco-1","Erythroid"
"aakocnjo-1","Erythroid"
"aakpadka-1","Erythroid"
"aakpeonl-1","B_progenitor"
"aalblidj-1","Erythroid"
"aalcafel-1","pDC"
"aaleflem-1","Erythroid"
"aalfmnpe-1","Erythroid"
"aalgnfem-1","HSC"
"aalgooea-1","Plasma_cell"
"aaliiiaf-1","Nonhaem"
"aaljbjii-1","Neutrophil"
"aalkhham-1","Erythroid"
"aaloijml-1","Erythroid"
"aalomhbn-1","Neutrophil"
"aamdgefp-1","Erythroid"
"aamfnkne-1","Erythroid"
"aamggpnc-1","Erythroid"
"aamihfcn-1","HSC"
"aamiiojb-1","Macrophage"
"aaminiaf-1","Erythroid"
"aammeeea-1","Erythroid"
"aammijmg-1","HSC"
"aampgnco-1","Macrophage"
"aancmino-1","Erythroid"
"aanhlnii-1","Macrophage"
"aankedkf-1","Erythroid"
"aankenab-1","Erythroid"
"aanlbhee-1","Erythroid"
"aanmnobd-1","Erythroid"
"aanpnpae-1","Erythroid"
"aaojhlik-1","Erythroid"
"aaojpacp-1","Erythroid"
"aaomibnl-1","Erythroid"
"aaongnjg-1","Nonhaem"
"aapdhkim-1","Granulocyte_monocyte_progenitor"
"aapfgmhh-1","Nonhaem"
"aapmbgcg-1","HSC"
"aapndidf-1","Neutrophil"
"abaaphgb-1","Neutrophil"
"abacnmff-1","Erythroid"
"abahpajn-1","Neutrophil"
"abaimakn-1","Erythroid"
"abaoaalp-1","Granulocyte_monocyte_progenitor"
"abapcnaj-1","Erythroid"
"abbadddo-1","Neutrophil"
"abbcoeaa-1","Erythroid"
"abbfngab-1","Erythroid"
"abcaadhk-1","Erythroid"
"abcaghdj-1","Nonhaem"
"abcahgof-1","HSC"
"abcbcebg-1","Erythroid"
"abcbdikd-1","B_naive"
"abcbngfk-1","B_progenitor"
"abcgdlod-1","Macrophage"
"abcojiae-1","Erythroid"
"abdedlom-1","MonoCD14"
"abdeffdn-1","Erythroid"
"abdkakok-1","Erythroid"
"abdlipfi-1","CD4_T_naive"
"abeanjlp-1","Erythroid"
"abekhkjc-1","B_memory"
"abekipfj-1","Erythroid"
"abekmnch-1","Neutrophil"
"abemaggc-1","Erythroid"
"abemghla-1","Erythroid"
"abemlkid-1","MonoCD16"
"abeokppf-1","Erythroid"
"abepnokf-1","Erythroid"
"abepohob-1","Granulocyte_monocyte_progenitor"
"abffdahk-1","Macrophage"
"abfhcagl-1","Erythroid"
"abflkpma-1","HSC"
"abfonihp-1","Erythroid"
"abgbadke-1","pDC"
"abgcohcf-1","Nonhaem"
"abgelcio-1","Erythroid"
"abgnjjhn-1","Erythroid"
"abhbpkap-1","Erythroid"
"abhgpmjj-1","Erythroid"
"abhmmgnd-1","MonoCD14"
"abhoheln-1","Neutrophil"
"abhpejeo-1","Erythroid"
"abhpidag-1","Erythroid"
"abhpmlpb-1","Erythroid"
"abhppadj-1","Plasma_cell"
"abiacgnk-1","Erythroid"
"abibajel-1","Neutrophil"
"abigffpm-1","Neutrophil"
"abjdopob-1","Plasma_cell"
"abjjgmon-1","Neutrophil"
"abjlmpih-1","Erythroid"
"abjpgmcj-1","Erythroid"
"abkhchop-1","MonoCD14"
"abkibann-1","Neutrophil"
"abkjncep-1","Nonhaem"
"abkldojl-1","Erythroid"
"abkmnpkh-1","Nonhaem"
"ablcgbpk-1","Erythroid"
"abljlbpa-1","MonoCD14"
"ablobpla-1","Plasma_cell"
"abmafkii-1","Plasma_cell"
"abmbeigl-1","Nonhaem"
"abmcmmjl-1","Platelet"
"abmdmplm-1","Erythroid"
"abmebgho-1","Plasma_cell"
"abmlcmfb-1","Nonhaem"
"abmlhgjb-1","MonoCD14"
"abmmlkbf-1","Neutrophil"
"abmnnjif-1","Erythroid"
"abnbolnm-1","Platelet"
"abnfkhbi-1","Erythroid"
"abngfkoj-1","Erythroid"
"abniahkj-1","Nonhaem"
"abninmhk-1","HSC"
"abniodcp-1","Erythroid"
"abnjmjdi-1","Erythroid"
"abnpdehk-1","Erythroid"
"abodgldn-1","BaEoMa"
"abodioki-1","Neutrophil"
"abojpafb-1","CD4_T_naive"
"aboofngk-1","HSC"
"abpbkgpa-1","Plasma_cell"
"abpcmkkn-1","HSC"
"abpgfkhl-1","Granulocyte_monocyte_progenitor"
"abpiljpl-1","Erythroid"
"abpjdabd-1","Neutrophil"
"abplcadc-1","HSC"
"abpmoiad-1","HSC"
"abpoolgo-1","Neutrophil"
"acafelab-1","HSC"
"acajgabb-1","HSC"
"acambjah-1","Platelet"
"acameapf-1","Erythroid"
"acangmol-1","Erythroid"
"acaokbeg-1","Neutrophil"
"acbabkle-1","Neutrophil"
"acbilioh-1","MonoCD14"
"acbimaal-1","MonoCD14"
"acbimfdd-1","Erythroid"
"acbmchkd-1","Granulocyte_monocyte_progenitor"
"acbmpcdb-1","Erythroid"
"acbokjip-1","Granulocyte_monocyte_progenitor"
"acchjbhe-1","CD8_T_memory"
"accmkjfm-1","Macrophage"
"accmofdm-1","MonoCD16"
"accokbhe-1","Erythroid"
"accpdmog-1","Erythroid"
"accpodnk-1","HSC"
"acdbmdap-1","Neutrophil"
"acdfihld-1","Neutrophil"
"acdhabhd-1","Erythroid"
"acdhpbom-1","Erythroid"
"acdiefnc-1","Erythroid"
"acdimkca-1","Macrophage"
"acdngfal-1","B_progenitor"
"acdohand-1","Erythroid"
"acebplmi-1","Erythroid"
"acecfbjh-1","Erythroid"
"acehamde-1","Erythroid"
"acehpnpp-1","Neutrophil"
"aceifnme-1","Erythroid"
"aceijbnk-1","HSC"
"aceipbld-1","Erythroid"
"acemnjkj-1","Erythroid"
"aceodlji-1","Erythroid"
"acfadofc-1","Erythroid"
"acfbkkdp-1","Erythroid"
"acfccfpg-1","Erythroid"
"acfdhggm-1","Erythroid"
"acfejakl-1","Erythroid"
"acffbfda-1","Erythroid"
"acfifkap-1","Erythroid"
"acfionio-1","Erythroid"
"acfjkebc-1","Macrophage"
"acfjmgkl-1","Plasma_cell"
"acfoaike-1","Erythroid"
"acfoggec-1","Erythroid"
"acgdfeob-1","Platelet"
"acgeafgd-1","Nonhaem"
