"","celltype"
"aaaapekf-1","B_memory"
"aaaclhjb-1","CTL"
"aaacmebe-1","MonoCD14"
"aaadflfi-1","Neutrophil"
"aaadgjgo-1","MonoCD14"
"aaafoffg-1","Granulocyte_monocyte_progenitor"
"aabbpdkg-1","MonoCD14"
"aabdmkfe-1","pDC"
"aabeflac-1","B_memory"
"aabehemd-1","MonoCD16"
"aabikfdm-1","MonoCD14"
"aabimdec-1","B_memory"
"aadcdbom-1","Plasma_cell"
"aadppkfo-1","Macrophage"
"aafailmo-1","MonoCD14"
"aafecang-1","B_progenitor"
"aaffbjed-1","HSC"
"aafjdihd-1","Erythroid"
"aaggnfhe-1","Erythroid"
"aahlaeci-1","Nonhaem"
"aaiciide-1","B_naive"
"aaicpmle-1","MonoCD14"
"aaifdbik-1","CD4_T_naive"
"aaindgkm-1","B_memory"
"aaiojgke-1","Neutrophil"
"aajbkgjc-1","B_progenitor"
"aajgdioe-1","Neutrophil"
"aaklnlhf-1","MonoCD14"
"aakpmddj-1","MAIT_gdT"
"aaldnjge-1","Erythroid"
"aalgenpm-1","Erythroid"
"aaljfkdb-1","Granulocyte_monocyte_progenitor"
"aalkcicp-1","HSC"
"aalkebnl-1","Erythroid"
"aalkkooa-1","HSC"
"aalkmpbp-1","Neutrophil"
"aalmgodj-1","Granulocyte_monocyte_progenitor"
"aameaigk-1","Erythroid"
"aamfbmpe-1","Erythroid"
"aampimgl-1","MonoCD14"
"aampmnin-1","NK_cell"
"aanaabce-1","Granulocyte_monocyte_progenitor"
"aanahekg-1","HSC"
"aanfmmgm-1","HSC"
"aanhkhcn-1","Plasma_cell"
"aaobhcnj-1","Erythroid"
"aaocbefc-1","HSC"
"aaocdhjf-1","B_progenitor"
"aapggiio-1","MonoCD14"
"aapohhmn-1","HSC"
"abadebok-1","HSC"
"abaiadml-1","Erythroid"
"abamkfbc-1","Erythroid"
"abanhbkd-1","Erythroid"
"abaobnfm-1","B_progenitor"
"abaonhkg-1","Plasma_cell"
"abapblef-1","Erythroid"
"abapkadh-1","HSC"
"abbagpbd-1","Erythroid"
"abbfnomk-1","HSC"
"abbkcjnc-1","Erythroid"
"abbmdmhm-1","HSC"
"abcekpan-1","HSC"
"abcigggn-1","Erythroid"
"abcjapoi-1","Nonhaem"
"abckpedn-1","Erythroid"
"abdcicjo-1","Granulocyte_monocyte_progenitor"
"abdjepoj-1","Plasma_cell"
"abeggmik-1","Nonhaem"
"abfeppjd-1","HSC"
"abffdekm-1","HSC"
"abfhmelc-1","Nonhaem"
"abfocmag-1","Neutrophil"
"abgfajld-1","HSC"
"abgnnina-1","Erythroid"
"abhbjjdj-1","Erythroid"
"abhdbgef-1","Erythroid"
"abhfgmol-1","Erythroid"
"abhghnok-1","Nonhaem"
"abhhfkga-1","Nonhaem"
"abhjmcmd-1","Plasma_cell"
"abhlkmhg-1","Neutrophil"
"abhmalgg-1","Macrophage"
"abhnamja-1","Nonhaem"
"abhnjieo-1","B_memory"
"abibegbg-1","pDC"
"abibhmdj-1","Nonhaem"
"abimejjd-1","B_progenitor"
"abinfmdk-1","MonoCD14"
"abinhijg-1","BaEoMa"
"abioenfl-1","Granulocyte_monocyte_progenitor"
"abjcoajm-1","Erythroid"
"abjfdhhg-1","Macrophage"
"abjfjopg-1","Granulocyte_monocyte_progenitor"
"abjhobek-1","B_naive"
"abjibfkb-1","Erythroid"
"abjilegf-1","Erythroid"
"abjjcghd-1","Erythroid"
"abjlacdp-1","Plasma_cell"
"abjngide-1","Erythroid"
"abkbjkbf-1","Erythroid"
"abkdmehp-1","Erythroid"
"abkheoik-1","Erythroid"
"abkopkfl-1","Erythroid"
"ablaficf-1","Erythroid"
"ablecpja-1","Erythroid"
"ableecpb-1","pDC"
"ableojmf-1","Erythroid"
"ablfbloj-1","Neutrophil"
"ablfeeao-1","Erythroid"
"ablfndap-1","T_prolifer"
"ablfpdfg-1","B_naive"
"ablipndm-1","Macrophage"
"ablkdbpm-1","Macrophage"
"abllngkf-1","MonoCD14"
"abmekfoo-1","Nonhaem"
"abmfjnnf-1","Erythroid"
"abmibodb-1","Macrophage"
"abmlilnh-1","Erythroid"
"abmlohmp-1","Erythroid"
"abmmdjik-1","Erythroid"
"abnpaomj-1","Neutrophil"
"abooioik-1","Plasma_cell"
"abpeamkb-1","Erythroid"
"abphflie-1","Erythroid"
"abpkfepm-1","MonoCD14"
"abpoaiob-1","HSC"
"acaalnka-1","HSC"
"acaiimia-1","HSC"
"acaldnoh-1","Granulocyte_monocyte_progenitor"
"acaogiig-1","Erythroid"
"acapmalk-1","Erythroid"
"acbaepbb-1","CD8_T_memory"
"acbeiekm-1","Erythroid"
"acbkbnol-1","Erythroid"
"acbkolbb-1","Erythroid"
"acbpddbb-1","MonoCD14"
"accadkaj-1","Erythroid"
"accankol-1","Erythroid"
"accjkpgc-1","Erythroid"
"accppjdl-1","Neutrophil"
"acdkemcm-1","HSC"
"acdldnfc-1","Neutrophil"
"acdmkebo-1","Erythroid"
"acdnifmh-1","Erythroid"
"acehfeon-1","Plasma_cell"
"aceihkia-1","Granulocyte_monocyte_progenitor"
"acgdkgil-1","Nonhaem"
"acggdmgd-1","MonoCD14"
